chinese,count,korean,english
三星,588,삼성,Samsung Electronics
國外,586,국외,Overseas
權利,585,권리,Rights
黨部,583,당사,party headquarters
石斑魚,580,우럭,grouper
外媒,578,외신,Foreign media
土地,577,땅,land
台大,576,대만 대학,National Taiwan University
教學,575,가르치다,Teaching
現任,574,현직,Current
股市,572,주식 시장,Stock market
修正,571,수정하다,amend
來源,571,출처,Source of information
封鎖,569,봉쇄하다,block
行為,567,행위,conduct
石油,565,석유,Oil (disambiguation)
成果,562,성과,Outcome
抗中保台,559,항중보대,Anti-China Protection Platform
美台,556,미국-타이완,U.S. and Taiwan
法人,555,법인,corporation
澎湖,553,펑후,Penghu (disambiguation)
股價,552,주가,stock price
程序,550,절차,Procedure (disambiguation)
美國國會,546,미국 의회,U.S. Congress
衛福部,545,위복부,Ministry of Health and Welfare
憲法,544,헌법,Constitution of the People's Republic of China
專案,542,특별 안건,Special case
邱垂正,539,구수정,Qiu Tsing-cheng (disambiguation)
安倍晉三,539,아베 신조,Prime Minister Shinzo Abe of Japan
武,539,심각하다,severe
協商,538,협상하다,consultation
藥物,538,약물,Drugs
蔣經國,537,장징궈,Chiang Ching-kuo of Ching-kuo
韌性,536,근성,toughness
意志,535,의지,will
澳門,533,마카오,Macao (People's Republic of)
經驗,533,경험,Experience
大國,533,대국,great power
數位,532,숫자,Number of digits
野心,530,야심,ambition
飛機,529,비행기,Aircraft
架構,528,짜임새,architecture
全力,527,전력,with all one's might
雙邊,527,쌍방,bilateral
局長,527,국장,Director-General
患者,522,환자,patient
高端,521,고급의,high-end
紐約,518,뉴욕,New York City
烏國,516,츠지,Tzu Chi Corporation
試劑,515,시약,reagent
深圳,515,심천,City of Shenzhen
決策,514,결책,Decision-making
盧秀燕,511,노수연,"Lu Hsiu-yan, Queen of China"
會長,511,회장,President
聲稱,510,주장하다,claim
同胞,510,동포,compatriots
決議,509,결의,Resolution
白紙,509,백지,white paper
海空,508,하늘과 바다,air and sea
跌幅,507,하락폭,decline
戰場,507,전쟁터,Battlefield (disambiguation)
家庭,506,가정,Family
美國聯邦眾議院,505,미국 연방 하원,U.S. House of Representatives
思想,503,사상,thought
關心,501,관심,be interested in
岸田文雄,501,기시다 후미오,Fumio Kishida (disambiguation)
總統府,501,대통령궁,Presidential Palace
國務院,500,국무원,State Council of the People's Republic of China
民生,500,민생,people's livelihood
海峽,500,해협,Straits (disambiguation)
布局,498,배치,layout
假訊息,497,가짜 메시지,false information
縣府,497,현청,prefectural government
染疫,496,감염되다,be infected with an epidemic
事業,495,사업,undertaking
蔡其昌,493,채기창,Cai Qichang (disambiguation)
速度,493,속도,speed
遼寧,492,의학,Medical
教育部,492,강권,totalitarian government
計劃,491,계획하다.,plan
雙城,490,쌍둥이 도시,Twin Cities
對岸,489,맞은편 기슭,the other side
禁令,489,금령,Prohibition
消費者,487,소비자,consumers
廣東,486,광둥,Cantonese national football team
首席,485,수석,chief
財政,483,재정,Finance
戰區,483,전역,theater of war
李克強,483,리커창,Li Keqiang (disambiguation)
家人,481,가족,Family
旗下,477,산하,flag
柬埔寨,476,캄보디아,Category: Cambodia
幕僚,476,막료,a staff member
中美,474,중미,Central America
法治,474,법치,Rule of law
農產品,472,농산물,Agricultural products
核武,471,핵무기,Nuclear weapons
上海市,471,상하이 시,City of Shanghai
槍,471,총,a gun.
選區,471,선거구,constituency
證明,468,증명하다.,attest
戰事,467,전쟁,fighting
利率,467,이자율,Interest rate
富士康,467,폭스콘,Foxconn Corporation
東南亞,465,동남아시아,South-East Asia
個人,465,개인,individual
呂伊,464,,
美國國務院,464,미국 국무부,U.S. State Department
無症,462,무증,disease-free
首長,462,우두머리,chief
陣營,461,진영,camp
條例,460,롄장현,Lianjiang County
選票,459,투표용지,Ballot papers
物價,458,물가,Prices
境內,458,경내,within the territory
大臣,457,대신,Minister of State
輿論,456,여론,public opinion
職業,454,직업,occupation
港口,451,항구,Ports and harbours
上市,451,시장에 나오다,Listing
過度,449,지나치다,overdo
莫斯科,449,모스크바,Moscow (disambiguation)
分歧,447,의견차이,divergence of opinion
孩子,446,아이,Child
大利,445,큰 이익,Italy
農業,445,농업,agriculture
證據,445,증거,Evidence
大廠,443,대형 공장,a large factory
曝光,443,폭로하다,exposure
課程,443,교과 과정,Courses
物流,443,물류,Logistics
王毅,442,왕이,Wang Yi (disambiguation)
白皮書,441,백서,White paper
全市,441,시 전체,the whole city
紀念,441,기념하다.,commemorate
澤倫斯基,440,젤렌스키,Zelensky the Great
動員,440,동원하다.,mobilize
兵力,439,병력,military strength
經濟體,439,경제체,Economy
總部,436,본부,Headquarters
艦艇,436,함정,ship
河南,435,허난 성,Henan Province
艦隊,435,함대,Fleet (disambiguation)
福建,435,푸젠 성,Fujian Province
彈道,434,탄도,Ballistic trajectory
支持者,434,지지자,supporters
案件,433,사건,Cases
論文,432,논문,Thesis paper
不容,432,용납하지 않다,not acceptable
學院,431,학원,College of Education
聯絡,429,연락하다,contact
中俄,429,중러,China and Russia
形式,429,형식,form
軍力,427,군사력,military strength
敵人,427,적,enemy
權益,426,권익,Rights and interests
西安,425,시안,Xi'an (disambiguation)
市議員,424,시의원,city councilor
水域,424,수역,waters
營運,424,운영하다,Operations
典禮,422,의식,ceremony
貸款,421,대출하다.,Loans
廈門,420,샤먼,Xiamen International Airport
電腦,419,컴퓨터,Computer systems
罪,419,여관,Hotel accommodation
立院,418,어린이,Children
文攻武,417,사서함,mailbox
資本,416,자본,Capital (economics)
研究院,416,연구원,Research Institute
情緒,416,정서,emotion
知情,415,사정을 알다,be aware of
成績,415,성적,Achievements
結構,415,짜임새,Structure
倡議,415,제의하다,initiative
錯,414,틀리다.,mistake
經理,414,사장님,Manager (disambiguation)
政治局,414,정치국,Politburo of the People's Republic of China
負面,413,부정적,negative
坦言,411,허심탄회하다,confess
正義,411,정의,Justice (disambiguation)
前景,410,전망,Prospects
原油,409,원유,crude oil
營收,408,영업 수입,Revenue (United States dollars)
武肺,407,,
共機,407,공중기,co-operation
學家,405,학자,scholar
日本首相,404,일본의 총리,Prime Minister of Japan
警戒,403,경계하다,be on the alert
藉口,401,핑계,excuse
意見,401,의견,Views
中共中央,400,중국공산당 중앙위원회,Central Committee of the Communist Party of China
轉型,400,변혁,transformation
鄉親,400,의무역,compulsory service
毛澤東,400,마오쩌둥,Mao Zedong (disambiguation)
電動車,399,전동차,Electric vehicle
俄烏,399,오우,Russian-Ukrainian relations
形象,397,형상,Image (disambiguation)
稅,397,세금,tax
爆料,396,천안,Cheonan (People's Republic of China)
農委會,396,농업위원회,Committee on Agriculture
水準,396,수준,standard
現實,395,현실적이다,Reality
東海,394,동해,East China Sea
林靜儀,394,임정의,Lin Ching-yi (disambiguation)
司法,393,사법,Administration of justice
遭遇,392,당했다.,encounter
民怨,392,민원,complaints
暴力,392,폭력,Violence against women
馬斯克,391,머스크,Musk (disambiguation)
黨團,391,패거리 단체,caucus
資安,391,쯔안,Zi'an Corporation
景氣,391,호경기,prosperity
常態,389,평소의 상태,normality
營業,387,영업,Business operations
醫學,387,양성,positive
形態,387,형태,morphology
理性,386,이성적,rationality
力道,386,힘,force path
基輔,386,키예프,kiev
中資,385,집에서 지내다,stay-at-home
股票,385,주식,Stocks
上台,383,무대에 오르다,take the stage
意願,382,바람,Willingness
廣州,380,병원,hospital
海峽中線,380,해협중앙선,Channel Midline
公約,380,공약,Conventions
胡錦濤,379,후진타오,President Hu Jintao
華盛頓,378,워싱턴,"Washington, D.C."
豬,377,강총연,Kang Cong-yeon (disambiguation)
移民,376,이민을 가다,Immigration
林智堅,376,임지견,Lin Chi-jian (disambiguation)
困境,375,곤경,a difficult situation
高科技,375,하이테크,High-tech
母艦,375,모함,mother ship
品質,374,품질,quality
陸軍,374,육군,Army (United States)
效應,374,효과,effect
祖國,373,조국,one's country
公平,373,공평하다,Fairness
漁民,372,교육부,Ministry of Education
比重,372,비중,specific gravity
動作,371,동작,move
長期,370,장기간,long-term
全體,370,전체,all
莫德納,370,모데나,Modena (disambiguation)
經歷,369,경험하다.,experience
台北,369,민방위,Civil Defence
非洲,369,아프리카,Africa (continued)
形勢,368,형세,the state of affairs
通訊,368,통신하다,Communications
資格,368,자격,Qualifications
律師,367,민심,public sentiment
戰備,367,전쟁 준비,preparation for war
指揮官,366,수나크,Sunak (disambiguation)
熱議,364,열론,hotly debated
旅館,364,여관,Hotel accommodation
基層,364,말단,grassroots
東亞,364,동아시아,East Asia
北京市,363,베이징시,Beijing Municipality
總裁,363,총재,President
朝野,363,조정과 재야,ruling and opposition parties
天津,362,자오춘산,Chao Chun Shan (disambiguation)
成長率,361,성장률,growth rate
友人,360,친구,friend
軍備,359,군비,Armaments
危害,358,해롭다,harm
司令,358,사령관,Commander-in-chief
捷克,357,체코,Czech Republic
國民,357,국민,nationality
環球,356,세계 각지,the world
手法,356,수법,trick
烏俄,355,러시아,Russian Federation
內政,355,내정,Internal affairs
友台,355,요우타이,Youtai (disambiguation)
安保,355,안보,Security
定位,354,위치하고 있다.,positioning
兵,352,병기,soldier
市政,351,교과 과정,Courses
官兵,350,시청,municipal government
中原,350,중원,Central Plains (disambiguation)
藝人,350,연예인,entertainer
交通部,350,교통부,Ministry of Communications
特色,349,특색,characteristic
油價,348,기름값,Oil price
蘇聯,347,소련,Soviet Union (disambiguation)
柯志恩,347,샤오메이친,Xiao Meiqin (disambiguation)
流感,346,유행성 감기,Influenza (disambiguation)
爭議,346,쟁의,controversy
中山,345,임정의,Lin Ching-yi (disambiguation)
戰術,345,전술,Tactical tactics
鳳梨,343,네모난 선실,square cabin
總體,342,총체적,Overall
藝術,342,예술,Artistic
政見,341,정견,political opinion
本質,340,본질,essence
通話,340,통화하다.,talk on the phone
兵役,339,병역,Military service
集體,337,단체,collective
定義,337,정의,Definitions
江澤民,336,장쩌민,Chinese President Jiang Zemin
武統,335,무통,martial arts
能量,335,에너지,energy
綠營,335,녹영,Green camp
人力,335,인력,manpower
李登輝,335,리덩후이,Lee Teng-hui (disambiguation)
方針,335,방침,policy
物料,334,재료,material
秘密,333,바이러스에 감염되다,viral infection
校園,332,캠퍼스,Campus (disambiguation)
紐西蘭,332,뉴질랜드,New Zealand
媒報,331,매스컴,Media coverage
畢業,331,졸업,graduate
國際法,330,국제법,International law
名義,330,명목,nominal
辯論,329,변론하다,Debate
陳吉仲,329,진길중,Chen Gil-jung (disambiguation)
鄭文燦,328,정문찬,Jeong Mun-chan (disambiguation)
財產,328,국방위원회,National Defense Commission
波蘭,328,폴란드,Poland
示威,328,시위,Demonstrations
訪團,328,방문단,a visiting delegation
施政,327,시정하다,Governance
福島,327,후쿠시마,Fukushima (disambiguation)
大眾,326,대중,the general public
瑞士,326,친척과 친구,relatives and friends
司令部,325,사령부,headquarters
農民,325,코즈언,Kozyn (disambiguation)
關稅,325,관세,Customs duties
藥品,324,약품,Drugs
機率,324,확률,probability
軍人,324,군인,Military personnel
國籍,324,입원하다.,be hospitalized
道路,323,도로,Roads
大樓,322,전대,Taiwan as a whole
馬來西亞,322,말레이시아,Malaysia national football team
火箭,322,로켓,Rockets
變種,322,변종,Variant species
信任,322,신임,trust
博士,321,박사,Doctor of Science
邱國正,320,무한,Wuhan International Airport
顧問,320,고문하다.,Consultants
中獎,319,,
參議員,319,참의원,U.S. Senators
韓國瑜,319,한유,Korea Yu
仇恨,318,티베트,Tibet (disambiguation)
航艦,317,항함,an airship
荷蘭,317,네덜란드,Netherlands
設廠,316,공장을 세우다,set up a factory
經濟部,314,민주화,democratization
馬曉光,314,마샤오광,Ma Xiaoguang (disambiguation)
機械,314,기계,Mechanical
民防,312,민방위,Civil Defence
法院,312,매스컴,Media coverage
心理,311,심리,psychological
執政,310,집정하다,govern
極權,310,강권,totalitarian government
設施,307,시설,Facilities
盟邦,306,맹방,allies
邏輯,306,논리학,logic
高峰會,304,정상회담,summit
漲幅,303,상승폭,increase
組件,303,구성 요소,Components
以色列,302,이스라엘,Israel (disambiguation)
裝備,302,장비,Equipment
潛艦,300,잠수함,Submarine (ship)
水果,299,쿤산,Kunshan (People's Republic of China)
山東,299,중국회,Chinese Association of China
障礙,299,장애,Obstacles
實彈,298,실탄,live ammunition
國安局,298,암흑가,black-spotted woodpecker
軟體,297,소프트웨어,Software (software)
預料,297,예상하다.,anticipate
染病,295,병에 걸리다,get sick
海關,295,세관,Customs and Excise Department
張忠謀,295,장충모,Chang Chung-mou (disambiguation)
思維,295,생각하다,thinking
建構,295,구성하다,construct
瑞典,295,스웨덴이,Sweden
遊戲,293,게임,game
家族,292,입법원,House of Representatives
陳其邁,292,천치마이,Chen Chi-mai (disambiguation)
執政黨,292,여당,ruling party
有力,292,힘차다,powerful
王鴻薇,292,왕훙웨이,Wang Hongwei (disambiguation)
幅度,292,폭,width
反艦,291,대함,anti-ship
民主化,290,길을 떠나다,set out on the road
時代力量,288,시대적 역량,The Power of the Times
陳明通,287,천밍퉁,Chen Mingtong (disambiguation)
公報,287,코뮈니케,official communiqué
草案,287,초안,Draft resolution
口號,287,구호,slogan
領海,287,영해,territorial waters
漁船,287,어선,fishing boat
專屬,286,전속,exclusive
王美花,285,왕메이화,Wang Mei-hua (disambiguation)
美國海軍,285,미국 해군,United States Navy
大力,285,힘껏,vigorously
學術,285,학술,Scholarly
原料,285,원료,raw material
新任,284,신임,newly-appointed
伊朗,284,이란,Iran (disambiguation)
高喊,283,사회면,social aspect
損失,283,손실,Losses
義務,283,의무,Obligations
川普,282,촨푸,Trump (disambiguation)
方艙,282,,
國際組織,282,국제 기구,International organizations
外委會,282,외부 위원회,Foreign Affairs Committee
國安會,282,국가 안전 보장 이사회,National Security Council
信箱,282,,
歐美,282,구미,Europe and the United States
衛生局,281,보건국,Department of Health
醫,281,치료하다,Medical
強力,280,강력하다,strong
秘書,279,연예인,entertainer
負責人,278,책임자,Responsible person
差距,278,차이가 있다.,Disparity
浙江,278,절차,flow
全台,278,임준헌,Lim Joon-heon (disambiguation)
選情,277,선거 상황,election sentiment
主導,276,주도하다,take the lead
黨員,276,당원,Party members
