chinese,korean,english
全世界,온 세상,all over the world
大會,대회,General Assembly
島,섬,Island (disambiguation)
抗中保台,항중보대,Anti-China Protection Platform
北韓,북한,Democratic People's Republic of Korea
部署,배치하다,Deployment
成本,원가,Cost
海外,해외,overseas
石油,석유,Oil (disambiguation)
華府,워싱턴 D.C.,"Washington, D.C."
美國眾議院,미국 하원,U.S. House of Representatives
部隊,부대,Troops
規定,정하다.,Regulations
手段,수단,means
柯文哲,커원저,Coventry (disambiguation)
信心,자신,confidence
條件,조건,condition
實力,실력,strength
股市,주식 시장,Stock market
客戶,거래처,Clients
戰機,전투기,warplane
權力,권력,Power
考量,고려하다,consider
國軍,국군,Armed Forces of the People's Republic of China
高層,고층,high-rise
責任,책임,Responsibility
選人,인선,elect
錯誤,잘못,Mistake
汽車,자동차,Motor vehicles
傳統,전통,Traditional
加拿大,캐나다,Canadian national football team
國務,국무,state affairs
美軍,미군,U.S. military
紀錄,기록하다.,record
標準,표준,Standards
角色,역할,Character (characters)
城市,도시,City (disambiguation)
意識,의식,Consciousness
商,상의하다,commercial
對台,카운터,face each other in Taiwan
行政院,행정원,Executive Yuan of the People's Republic of China
重要性,중요성,Importance
體系,체계,system
網友,네티즌,Internet users
糧食,식량,Food
銀行,은행,Bank of China
抗議,항의하다,protest
布局,배치,layout
分歧,의견차이,divergence of opinion
蘇貞昌,소정창,Su Ching-chang (disambiguation)
行程,여정,itinerary
會面,면회,meet
桃園市,타오위안 시,Taoyuan Municipality
貨幣,화폐,Currency
可能性,가능성,possibility
人口,인구,Population
海上,바다 위,at sea
外國,외국,Foreign countries
中俄,중러,China and Russia
台中市,타이중 시,Taichung Municipality
軍隊,군대,Military
越南,베트남,Vietnamese national football team
蔣萬安,장완안,Jiang Wan'an (disambiguation)
俄烏,오우,Russian-Ukrainian relations
智慧,지혜롭다,wisdom
人才,인재,a man of talent
關稅,관세,Customs duties
台幣,대만 달러,Taiwan dollar (denominated)
海軍,해군,Navy (disambiguation)
智庫,싱크탱크,think tank
醫療,의료,Medical
民間,민간,the private sector
交易,거래하다,trade
行政,행정,Administration
企圖,기도하다,attempt
航空,항공,Air transportation
路線,노선,course
法律,법률,Law
民意,민의,public opinion
階段,단계,stage
雙邊,쌍방,bilateral
研究所,연구소,Research institutes
鄭運鵬,정운붕,Zheng Yunpeng (disambiguation)
嘉義縣,자이 현,Chiayi County
空軍,공군,Air Force
投票,투표하다.,Voting
政權,정권,government
食品,식품,Foodstuffs
台股,대만 주식,Taiwan Stock Exchange
商品,상품,Commodities
股價,주가,stock price
體制,체제,Institution
評論,평론,Commentary
金門縣,진먼현,"Golden Gate County, California"
形勢,형세,the state of affairs
民調,여론조사,public opinion poll
外資,외자,Foreign investment
東南亞,동남아시아,South-East Asia
計劃,계획하다.,plan
國人,내국인,nationality
華盛頓,워싱턴,"Washington, D.C."
軍方,군부,Military
台美,타이메이,Taiwan and the United States
工業,인더스트리얼,Industry
菲律賓,필리핀,Philippines national football team
阿拉伯,아랍,Arab States
任期,임기,Term of office
小三通,샤오티통,small three-way connection
精神,정신,spirit
通話,통화하다.,talk on the phone
實質,본질,substance
安倍,아베,Abe (disambiguation)
成果,성과,Outcome
上市,시장에 나오다,Listing
錢,돈,money
學生,학생,Students
廠商,메이커,Manufacturers
高雄市,가오슝 시,Kaohsiung Municipality
無法,방법이 없다,I can't.
本土,본토,mainland
訊息,메시지,information
工程,프로젝트,Engineering
利率,이자율,Interest rate
首度,제1차,for the first time
同胞,동포,compatriots
航行,항해하다,sail
版圖,판도,map
賴清德,라이칭더,"Lai Ching-teh, Duke of Ching-teh"
陸委會,육상 위원회,Mainland Commission
碳,탄소,Carbon (disambiguation)
公報,코뮈니케,official communiqué
理事,이사,Governing Council
規劃,기획하다,Planning
架構,짜임새,architecture
美台,미국-타이완,U.S. and Taiwan
夏立言,하립언,Xia Liying (disambiguation)
情報,정보,information
朋友,친구,Friend.
電動車,전동차,Electric vehicle
國安,궈안,national security
資本,자본,Capital (economics)
戰場,전쟁터,Battlefield (disambiguation)
手機,휴대전화,Cell phones
選民,유권자,electorate
現實,현실적이다,Reality
美國國會,미국 의회,U.S. Congress
貢獻,공헌하다,contribute
軍艦,군함,a warship
資產,자산,Assets
吳釗燮,오쇠섭,Oh So-seop (disambiguation)
商業,상업,Commercial activities
中共中央,중국공산당 중앙위원회,Central Committee of the Communist Party of China
距離,거리,distance
內政,내정,Internal affairs
國台辦,중화인민공화국 대만 사무소,National Taiwan Affairs Office
泰國,태국,Thailand
代價,대가,cost
新局,새로운 국면,new bureau
蘇聯,소련,Soviet Union (disambiguation)
焦點,초점,focus
協會,협회,Association
海峽,해협,Straits (disambiguation)
戰區,전역,theater of war
空域,공역,airspace
新疆,신장,Xinjiang (People's Republic of China)
張善政,장선정,good governance
東亞,동아시아,East Asia
經濟體,경제체,Economy
飛機,비행기,Aircraft
中國共產黨,중국 공산당,Communist Party of China
軍機,군사 기밀,military aircraft
入境,입국하다,Entry into the country
決策,결책,Decision-making
攝影,촬영,Photography
航母,항공모함,aircraft carrier
工具,공구,Tools
蕭茲,쇼지,Shaws (disambiguation)
協商,협상하다,consultation
全球化,세계화,Globalization
國務院,국무원,State Council of the People's Republic of China
韌性,근성,toughness
理念,이념,philosophy
視訊,영상,Television broadcasting
身分,신분,status
決心,마음먹다,resolve
川普,촨푸,Trump (disambiguation)
思想,사상,thought
犯台,반역하다,a criminal's platform
形態,형태,morphology
黨內,당내,within the party
新北市,신베이 시,New North City (disambiguation)
憲法,헌법,Constitution of the People's Republic of China
結構,짜임새,Structure
規範,규범,canonical
資深,경력이 풍부한,seniority
公民,공민,citizen
莫斯科,모스크바,Moscow (disambiguation)
導彈,미사일,Missiles (disambiguation)
研究院,연구원,Research Institute
專業,전공,Professional
前景,전망,Prospects
柬埔寨,캄보디아,Category: Cambodia
紅線,붉은 실,red thread
特色,특색,characteristic
代工,위탁생산자,foundry
理性,이성적,rationality
紐約,뉴욕,New York City
航班,항공편,Flights
權利,권리,Rights
形式,형식,form
李克強,리커창,Li Keqiang (disambiguation)
戰力,전력,military strength
庫存,재고품,Stockpile
直言,직언,direct speech
白皮書,백서,White paper
核武,핵무기,Nuclear weapons
道路,도로,Roads
過度,지나치다,overdo
主委,주임 위원,chairperson
官,관청,official
來源,출처,Source of information
速度,속도,speed
機場,공항,Airports
總體,총체적,Overall
族群,민족,ethnic group
禁令,금령,Prohibition
意圖,의도,Intention
外交政策,외교 정책,Foreign policy
彈道,탄도,Ballistic trajectory
秦剛,친강,Qin Gang (disambiguation)
工廠,공장,Factory
全民,전 국민,the whole nation
水準,수준,standard
霸權,패권,Hegemony (disambiguation)
戰事,전쟁,fighting
倡議,제의하다,initiative
環球,세계 각지,the world
輿論,여론,public opinion
效應,효과,effect
威權,위세,authority
尹錫悅,윤석열,Yoon Suk Yeol
決議,결의,Resolution
行為,행위,conduct
經驗,경험,Experience
科學,과학,Science (disambiguation)
政治局,정치국,Politburo of the People's Republic of China
定位,위치하고 있다.,positioning
法人,법인,corporation
非洲,아프리카,Africa (continued)
牌,패,card
公告,공고하다,public announcement
境外,국외,Outside China
電話,전화를,Telephone number
修正,수정하다,amend
江澤民,장쩌민,Chinese President Jiang Zemin
機關,계략,organs
綠營,녹영,Green camp
民眾黨,민중당,People's Party of China
伊朗,이란,Iran (disambiguation)
肺炎,폐렴,Pneumonia (disambiguation)
主管,주관하다,head of a department
消費者,소비자,consumers
程序,절차,Procedure (disambiguation)
情緒,정서,emotion
思維,생각하다,thinking
行徑,행동,conduct
團體,단체,Organizations
稅,세금,tax
對岸,맞은편 기슭,the other side
長期,장기간,long-term
經歷,경험하다.,experience
亞太,아시아 태평양,Asia-Pacific region
票,표,ticket
美國國務院,미국 국무부,U.S. State Department
困境,곤경,a difficult situation
跌幅,하락폭,decline
病例,병례,Case study
軍力,군사력,military strength
現任,현직,Current
市民,시민,citizen
全力,전력,with all one's might
馬英九,마잉주,Ma Ying-jeou (disambiguation)
聲量,성량,volume of sound
封城,도시를 봉하다,closed city
議會,의회,Parliament
中東,중동,Middle East
大利,큰 이익,Italy
局面,국면,situation
槍,총,a gun.
澤倫斯基,젤렌스키,Zelensky the Great
綠色,녹색,Green
負面,부정적,negative
財政,재정,Finance
林智堅,임지견,Lin Chi-jian (disambiguation)
岸田文雄,기시다 후미오,Fumio Kishida (disambiguation)
海空,하늘과 바다,air and sea
高端,고급의,high-end
陸方,육방,land side
方針,방침,policy
國外,국외,Overseas
公平,공평하다,Fairness
李登輝,리덩후이,Lee Teng-hui (disambiguation)
毛澤東,마오쩌둥,Mao Zedong (disambiguation)
原油,원유,crude oil
股票,주식,Stocks
立陶宛,리투아니아,Republic of Lithuania
林佳龍,임가룡,Lin Jialong (disambiguation)
中線,센터 라인,Midline (disambiguation)
民主自由,민주자유,democratic freedom
主導,주도하다,take the lead
侯友宜,허우이,Hou Youyi
三星,삼성,Samsung Electronics
權法,권법,law of power
產業鏈,산업 체인,industrial chain
意志,의지,will
海峽中線,해협중앙선,Channel Midline
關心,관심,be interested in
台大,대만 대학,National Taiwan University
事業,사업,undertaking
武統,무통,martial arts
債務,빚,Obligations
水域,수역,waters
邊境,변경,Borders
農產品,농산물,Agricultural products
陣營,진영,camp
黨籍,당적,Party membership
核酸,핵산,nucleic acid
景氣,호경기,prosperity
框架,틀,Frameworks
數位,숫자,Number of digits
民生,민생,people's livelihood
胡錦濤,후진타오,President Hu Jintao
專案,특별 안건,Special case
交通,교통,Transportation
意見,의견,Views
強權,강권,a powerful power
動作,동작,move
邏輯,논리학,logic
差距,차이가 있다.,Disparity
市府,시청,municipal government
進程,진행 과정,Process
整理,정리하다.,arrange
爭議,쟁의,controversy
信號,신호,signal
常態,평소의 상태,normality
學院,학원,College of Education
有力,힘차다,powerful
權益,권익,Rights and interests
選項,옵션,Options
艦艇,함정,ship
論文,논문,Thesis paper
個人,개인,individual
農業,농업,agriculture
信任,신임,trust
黃珊珊,황산산,WONG Shan-shan (disambiguation)
意願,바람,Willingness
官媒,관영 매체,state-run media
支持者,지지자,supporters
福建,푸젠 성,Fujian Province
秘書長,사무총장,Secretary-General
不容,용납하지 않다,not acceptable
裝備,장비,Equipment
土地,땅,land
口罩,마스크,Mask (disambiguation)
轉型,변혁,transformation
汪文斌,왕원빈,Wang Wenbin (disambiguation)
艦隊,함대,Fleet (disambiguation)
預料,예상하다.,anticipate
定義,정의,Definitions
知情,사정을 알다,be aware of
力道,힘,force path
電腦,컴퓨터,Computer systems
外媒,외신,Foreign media
共產黨,공산당,Communist Party of the People's Republic of China
美國聯邦眾議院,미국 연방 하원,U.S. House of Representatives
上台,무대에 오르다,take the stage
規畫,계획하다,plan
漲幅,상승폭,increase
海洋,바다,Oceans and seas
醫院,병원,Hospitals
選票,투표용지,Ballot papers
趙立堅,자오리젠,Zhao Lijian (disambiguation)
藉口,핑계,excuse
封鎖,봉쇄하다,block
馬斯克,머스크,Musk (disambiguation)
底線,마지노선,bottom line
證實,실증하다,confirm
公約,공약,Conventions
形象,형상,Image (disambiguation)
祖國,조국,one's country
深圳,심천,City of Shenzhen
境內,경내,within the territory
會長,회장,President
總部,본부,Headquarters
遊戲,게임,game
馬克宏,마크혼,Macon (disambiguation)
執政,집정하다,govern
阿富汗,아프가니스탄,Afghanistan national football team
學校,학교,Schools
自衛隊,자위대,Self-Defense Forces
材料,재료,Material
旗下,산하,flag
理論,이론,Theories
總統府,대통령궁,Presidential Palace
遭遇,당했다.,encounter
居民,주민,inhabitants
土耳其,터키,Turkish national football team
首席,수석,chief
邦交,국교,diplomatic relations
成長率,성장률,growth rate
設廠,공장을 세우다,set up a factory
戰術,전술,Tactical tactics
比重,비중,specific gravity
鴻海,홍해,the Great Sea
中亞,중앙아시아,Central Asia
全體,전체,all
高科技,하이테크,High-tech
大廠,대형 공장,a large factory
首長,우두머리,chief
家庭,가정,Family
盟國,동맹국,Allies (United States)
旅客,나그네,Travellers
建構,구성하다,construct
機率,확률,probability
命運,운명,Fate (disambiguation)
港口,항구,Ports and harbours
鄭文燦,정문찬,Jeong Mun-chan (disambiguation)
敵人,적,enemy
國際法,국제법,International law
細節,세부 사항,Details
物價,물가,Prices
生效,효력이 발생하다,Entry into force
電池,배터리다,Battery
群眾,대중,crowd
中原,중원,Central Plains (disambiguation)
學術,학술,Scholarly
兵役,병역,Military service
集體,단체,collective
登場,등장하다.,make one's appearance
新能源,신에너지,New Energy
戰備,전쟁 준비,preparation for war
聯盟,연맹,Federation
海關,세관,Customs and Excise Department
東海,동해,East China Sea
沙烏地,사우디아라비아,Saudis (disambiguation)
博士,박사,Doctor of Science
軍備,군비,Armaments
日本首相,일본의 총리,Prime Minister of Japan
基隆市,지룽 시,Keelung Municipality
文明,문명,civilization
防衛省,방위성,Ministry of Defence
國民,국민,nationality
疾病,질병,Illness
生態,생태,Ecological
安倍晉三,아베 신조,Prime Minister Shinzo Abe of Japan
成績,성적,Achievements
強勢,세다,strong
法治,법치,Rule of law
機遇,기회,opportunity
瑞典,스웨덴이,Sweden
變數,변수,variable
油價,기름값,Oil price
氛圍,분위기,atmosphere
學家,학자,scholar
幅度,폭,width
政客,정객,Politicians
貸款,대출하다.,Loans
紀念,기념하다.,commemorate
兵,병기,soldier
石斑魚,우럭,grouper
張忠謀,장충모,Chang Chung-mou (disambiguation)
指導,지도하다,guidance
軍售,군납 판매,arms sales
選情,선거 상황,election sentiment
太陽,태양,the sun
口號,구호,slogan
大臣,대신,Minister of State
藝術,예술,Artistic
沙國,사국,Kingdom of Saudi Arabia
成就,성취하다.,Achievements
客觀,객관적이다,objective
太空,우주,space
魏鳳,위봉,Wei Feng (disambiguation)
局長,국장,Director-General
專利,특허,Patents
動員,동원하다.,mobilize
藍營,란잉,Camp Blue (disambiguation)
美國海軍,미국 해군,United States Navy
品質,품질,quality
黨章,당헌,Party Constitution
抗中,항중,Resistance to the Middle East
台南市,타이난 시,City of Tainan
營收,영업 수입,Revenue (United States dollars)
行政部,행정부,Department of Administration
本質,본질,essence
物流,물류,Logistics
證券,증권,Securities
歐美,구미,Europe and the United States
中歐,중부 유럽,Central Europe
東京,도쿄,Tokyo Metropolitan Government
執政黨,여당,ruling party
大戰,대전,Great war
荷蘭,네덜란드,Netherlands
行情,시세,market price
物料,재료,material
正義,정의,Justice (disambiguation)
火箭,로켓,Rockets
內閣,내각,Cabinet of Ministers
英特爾,인텔,Intel Corporation
廈門,샤먼,Xiamen International Airport
關切,친절하다,concern
精準,정확하다,precise
員工,종업원,Staff members
經理,사장님,Manager (disambiguation)
會晤,만나다,Meetings
黨團,패거리 단체,caucus
中概股,중개주,medium-sized stock
領海,영해,territorial waters
層級,층계,hierarchical
條約,조약,Treaties
溝通,소통하다.,Communication
債券,채권,Bonds (disambiguation)
走勢,추세,trend
營運,운영하다,Operations
國安會,국가 안전 보장 이사회,National Security Council
觀光,관광하다.,sightseeing
證明,증명하다.,attest
汪洋,망망하다,a vast expanse of water
物資,물자,material goods
亞太地區,아시아 태평양 지역,Asia-Pacific region
島國,섬나라,Island countries
專屬,전속,exclusive
司法,사법,Administration of justice
障礙,장애,Obstacles
補貼,보조금,Subsidies
兵力,병력,military strength
海基,해기,sea-based
共同富裕,함께 부유하다.,common prosperity
損失,손실,Losses
冠狀,관,crown
俄方,러시아측,Russian side
司令,사령관,Commander-in-chief
通訊,통신하다,Communications
顧問,고문하다.,Consultants
陸軍,육군,Army (United States)
信息,정보,Information
典禮,의식,ceremony
鄧小平,덩샤오핑,Deng Xiaoping (disambiguation)
大力,힘껏,vigorously
施政,시정하다,Governance
移民,이민을 가다,Immigration
蔣經國,장징궈,Chiang Ching-kuo of Ching-kuo
明白,알았다,I understand.
曹興誠,조흥성,Tsao Xingcheng (disambiguation)
白紙,백지,white paper
產量,생산량,Production capacity
水平,수평,horizontal
海岸,해안,coast
武裝,무장하다,Armed forces
危害,해롭다,harm
野心,야심,ambition
國慶,국경일,National Day of the People's Republic of China
引擎,엔진,Engine (engine)
邱臣遠,추신원,Qiu Chenyuan (disambiguation)
合法,합법적이다,legitimate
心理,심리,psychological
負責任,책임을 지다,take responsibility
安保,안보,Security
共機,공중기,co-operation
爭端,분쟁의 실마리,Disputes
基層,말단,grassroots
衛星,위성,satellites
核武器,핵무기,Nuclear weapons
基輔,키예프,kiev
專機,전용기,a private plane
外交官,외교관,diplomatic service
力度,힘,strength
動力,동력,power
參議員,참의원,U.S. Senators
警方,경찰,Police officers
聯準會,연합회,Federation of American Associations
設施,시설,Facilities
籌碼,칩,chip
軟體,소프트웨어,Software (software)
雷根,레이건,Regan (disambiguation)
公眾,공중,Public
馬來西亞,말레이시아,Malaysia national football team
高通,퀄컴,Qualcomm (company)
島嶼,섬,Island (disambiguation)
台軍,대만 군대,Taiwanese military
慣例,관례,conventional practice
消失,사라지다.,disappear
成員國,회원국,Member States
基本面,펀더멘털,fundamental
歐元,유로,Euro (United States dollars)
黨外,당외,outside the party
西太平洋,서태평양,Western Pacific Ocean
陳明通,천밍퉁,Chen Mingtong (disambiguation)
衛福部,위복부,Ministry of Health and Welfare
馬可仕,마르코스,Marks (disambiguation)
母艦,모함,mother ship
新冷戰,신냉전,New Cold War
紐西蘭,뉴질랜드,New Zealand
領空,영공,airspace
專制,전제,despotic
孩子,아이,Child
氣氛,분위기,atmosphere
周玉蔻,저우위커우,Chou Yu-chou (disambiguation)
示威,시위,Demonstrations
美中台,옥중대,U.S.-China relations
語言,언어,Language
錯,틀리다.,mistake
極端,극히,extreme
義務,의무,Obligations
證據,증거,Evidence
美麗島,메이리다오,Beautiful Island
處境,처지,situation
案例,사례,Case study
幕僚,막료,a staff member
作品,작품,Works
業績,업적,Performance
學會,학회,Society for the Advancement of Women
政見,정견,political opinion
資格,자격,Qualifications
賀錦麗,허진리,He Chin-li
願景,희망,vision
火力,화력,firepower
索羅門群島,솔로몬 제도,Solomon Islands (disambiguation)
美歐,미국과 유럽,United States and Europe
印象,인상,impression
天下,천하,the whole world
高峰會,정상회담,summit
司令部,사령부,headquarters
生物,생물,living things
友台,요우타이,Youtai (disambiguation)
家人,가족,Family
大數據,빅 데이터,Big data
聯合國大會,유엔 총회,United Nations General Assembly
密集,밀집하다.,dense
軍人,군인,Military personnel
舞台,무대,stage
財政部,재무부,Ministry of Finance
伯恩斯,번스,Burns (disambiguation)
財富,부,Wealth (disambiguation)
龍頭,용두,tap
共同利益,공동이익,common interest
故宮,고궁,Imperial Palace (disambiguation)
大陸國家,대륙국가,Continental states
蔡其昌,채기창,Cai Qichang (disambiguation)
哈薩克,카자흐,Republic of Kazakhstan
黃金,황금,Gold (disambiguation)
能量,에너지,energy
大眾,대중,the general public
選區,선거구,constituency
藥,약,medicine
角力,레슬링,angular strength
護欄,가드레일,guardrail
貨物,화물,goods
軍委,군사 위원회,Military Commission
實彈,실탄,live ammunition
業界,업계,trade
陳吉仲,진길중,Chen Gil-jung (disambiguation)
外委會,외부 위원회,Foreign Affairs Committee
假訊息,가짜 메시지,false information
新任,신임,newly-appointed
對方,상대편,the other side
農委會,농업위원회,Committee on Agriculture
辯論,변론하다,Debate
愛國,애국하다,patriotism
藥物,약물,Drugs
結盟,동맹을 맺다,form an alliance with
潛艦,잠수함,Submarine (ship)
負責人,책임자,Responsible person
黨部,당사,party headquarters
對話,대화,Dialogue between the two countries
大廈,빌딩,building
人道,휴머니즘,humanity
待遇,대우,Treatment
條款,약관,Terms and Conditions
心態,심리 상태,mentality
成長,성장하다.,grow
院議,법원의 회의,House of Representatives
20國集團,주요 20개국,Group of 20
總裁,총재,President
楊潔篪,양제츠,Yang Jiechi (disambiguation)
坦言,허심탄회하다,confess
王鴻薇,왕훙웨이,Wang Hongwei (disambiguation)
烏俄戰爭,러시아-러시아 전쟁,Russo-Ukrainian War of 1915
儀式,의식,ceremony
匯率,환시세,Exchange rate
巴基斯坦,파키스탄,Pakistan national football team
黨員,당원,Party members
保台,보안 플랫폼,stand-by
同志,동지,comrade
鐵路,철로,Railways
電力,전력,Electricity
美國商務部,미국 상무부,U.S. Department of Commerce
財務,재무,Finance
鄰國,이웃 나라,Neighbouring countries
草案,초안,Draft resolution
葉倫,옐런,Yellen
建築,건축물,Architecture
陷阱,함정,trap
議程,의사일정,Agenda for the biennium 2002-2003
以色列,이스라엘,Israel (disambiguation)
烏茲別克,우즈베키스탄,Uzbekistan national football team
主軸,주축,spindle
效率,능률,efficiency
宣言,선언하다.,Declaration
機械,기계,Mechanical
高階,높은 계급,higher order
強力,강력하다,strong
苗栗,새싹의 밤,seedling chestnut
聲稱,주장하다,claim
終端,터미널,Terminal (disambiguation)
外匯,외국환,Foreign exchange
派系,파벌,faction
友人,친구,friend
理想,이상,ideal
姿態,자태,posture
李顯龍,리셴룽,Lee Hsien Loong (disambiguation)
債,빚,debt
盧秀燕,노수연,"Lu Hsiu-yan, Queen of China"
高點,고점,high point
準則,준칙,Guidelines
波蘭,폴란드,Poland
朝野,조정과 재야,ruling and opposition parties
主因,주원인,principal cause
股權,주주권,equity interest
人力,인력,manpower
組件,구성 요소,Components
資安,쯔안,Zi'an Corporation
航線,항로,air route
澎湖,펑후,Penghu (disambiguation)
軌道,궤도,Orbital trajectory
盟邦,맹방,allies
王必勝,왕필승,The King will win.
邊緣,가장자리,edge
財,재물,wealth
任命,임명하다,Appointments
交通部,교통부,Ministry of Communications
契機,계기,opportunity
熱議,열론,hotly debated
雙城,쌍둥이 도시,Twin Cities
曝光,폭로하다,exposure
潛力,잠재력,potential
朱鳳蓮,주봉련,Chinese fenglian
東風,동풍,an easterly wind
福祉,복리,well-being
企業家,기업가,entrepreneurs
國際組織,국제 기구,International organizations
伺服器,서버,Server (computing)
南京,난징,Nanking (disambiguation)
馬曉光,마샤오광,Ma Xiaoguang (disambiguation)
警戒,경계하다,be on the alert
戰書,도전장,a letter of war
平民,평민,Civilian population
原料,원료,raw material
季辛吉,지신지,Jisinji (disambiguation)
案件,사건,Cases
商機,상업 기회,business opportunity
金磚,금벽돌,gold brick
廣東,광둥,Cantonese national football team
政經,정경,politics and economics
面會,면회하다,a face-to-face meeting
花蓮縣,화롄현,Hualien County
士兵,사병,Soldier (disambiguation)
強國,강대국,a powerful nation
規格,규격,Specifications
創業,창업하다,start a business
答案,답안,Answer
劉德音,유덕음,Lau Te-yin (disambiguation)
邊界,경계선,border
網絡,네트워크,Networking
友誼,우의,Friendship
捷克,체코,Czech Republic
幹部,간부,cadres
深度,깊이,depth
地帶,지대,zone
眾院,하원,House of Representatives
通報,통보하다,give notice of
藍綠,청록색,blue-green
經理人,매니저,manager
風暴,폭풍,Storm (disambiguation)
嚴正,엄정하다,strict
效益,효과와 이익,benefit
職務,직무,Duties
互利,상호 이익,mutual benefit
