chinese,count,korean,english
大樓,529,빌딩,building
飛機,529,비행기,airplane
核武器,528,핵무기,Nuclear weapons
全力,527,전력,with all one's might
雙邊,527,쌍방,bilateral
局長,527,국장,Director-General
高端,521,가오두안백신,MVC COVID-19 Vaccine
紐約,518,뉴욕,New York City
試劑,515,시약,reagent
深圳,515,선전시,Shenzhen City
決策,514,결책,Decision-making
盧秀燕,511,루슈옌,Lu Shiow-yen
會長,511,회장,President
聲稱,510,주장하다,claim
同胞,510,동포,compatriots
白紙,509,백지,white paper
決議,509,결의,Resolution
海空,508,하늘과 바다,air and sea
戰場,507,전쟁터,Battlefield
跌幅,507,하락폭,plunge
家庭,506,가정,Family
思想,503,사상,thought
關心,501,관심,interest
岸田文雄,501,기시다 후미오,Fumio Kishida
總統府,501,총통부,Presidential Palace
民生,500,민생,people's livelihood
海峽,500,해협,Straits
國務院,500,국무원,State Council
布局,498,배치,layout
假訊息,497,가짜 정보,false information
縣府,497,현청,prefectural government
染疫,496,감염되다,be infected
事業,495,사업,business
速度,493,속도,speed
蔡其昌,493,차이치창,Tsai Chi-chang
教育部,492,교육부,ministry of education
遼寧,492,랴오닝 성,liaoning province
雙城,490,미네소타 트윈스,Minnesota Twins
禁令,489,금령,Prohibition
對岸,489,맞은편,the opposite side
消費者,487,소비자,consumers
廣東,486,광둥,Guangdong
財政,483,재정,Finance
戰區,483,전쟁구역,war zone
李克強,483,리커창,Li Keqiang
家人,481,가족,Family
旗下,477,산하,subsidiary
柬埔寨,476,캄보디아,Cambodia
幕僚,476,막료,a staff member
中美,474,중미,China-US
法治,474,법치,Rule of law
農產品,472,농산물,Agricultural products
槍,471,총,gun
選區,471,선거구,electoral district
證明,468,증명하다,attest
富士康,467,폭스콘,Foxconn
戰事,467,전쟁,fighting
利率,466,이자율,Interest rate
東南亞,465,동남아시아,Southeast Asia
個人,465,개인,individual
呂伊,464,루이츠,ruitz
美國國務院,464,미국 국무부,U.S. State Department
無症,462,무증상,asymptomatic
陣營,461,진영,camp
條例,460,조례,rules
選票,459,투표용지,Ballot papers
物價,458,물가,Prices
境內,458,국내,domestic
大臣,457,장관,Minister
輿論,456,여론,public opinion
職業,454,직업,occupation
港口,451,항구,harbours
上市,451,상장,listed (stock)
莫斯科,449,모스크바,Moscow
過度,449,지나치다,overtly
分歧,447,의견차이,divergence of opinion
孩子,446,아이,Child
證據,445,증거,Evidence
義大利,445,이탈리,Italy
義大利,445,이탈리아,Italy
課程,443,교과 과정,courses
曝光,443,폭로하다,expose
物流,443,물류,Logistics
大廠,443,대형 공장,a large factory
王毅,442,왕이,Wang Yi
紀念,441,기념,commemorate
白皮書,441,백서,White paper
全市,441,시 전체,the whole city
動員,440,동원하다,mobilize
澤倫斯基,440,젤렌스키,Zelensky
兵力,439,병력,military strength
經濟體,439,경제체,economic entity
艦艇,436,군용선박,naval vessels
總部,436,본부,Headquarters
艦隊,435,함대,Fleet
福建,435,푸젠 성,Fujian Province
河南,435,허난 성,henan province
支持者,434,지지자,supporters
彈道,434,탄도,Ballistic trajectory
案件,433,사건,Cases
不容,432,용납하지 않다,not acceptable
論文,432,논문,Thesis paper
學院,431,학과,department
中俄,429,중러,China-Russia
形式,429,형식,form
聯絡,429,연락하다,contact
敵人,427,적,enemy
軍力,427,군사력,military strength
權益,426,권익,Rights and interests
西安,425,시안,xi-an
水域,424,수역,water area
營運,424,운영,Operations
市議員,424,시의원,city councilor
典禮,422,의식,ceremony
貸款,421,대출,Loans
廈門,420,샤먼,Xiamen
亞太地區,419,아시아-퍼시픽 지역,Asia-Pacific region
電腦,419,컴퓨터,Computer
罪,419,죄,crime
立院,418,입법원,the legislative yuan
文攻武嚇,417,문공무혁,literary attack and force threats
文攻武嚇,417,문공무혁,Literary attack and force threats
情緒,416,정서,emotion
資本,416,자본,Capital (economics)
研究院,416,연구원,Research Institute
倡議,415,제의,proposal
成績,415,성적,score
知情,415,사정을 알다,be aware of
群眾,415,대중,crowd
錯,414,틀리다.,wrong
經理,414,매니저,Manager
政治局,414,정치국,Politburo
負面,413,부정적,negative
坦言,411,허심탄회하다,confess
正義,411,정의,Justice
前景,410,전망,Prospects
原油,409,원유,crude oil
營收,408,영업 수입,Revenue
武肺,407,무한폐렴,wuhan virus
共機,407,공산당 비행기,Chinese Communist Aircraft
日本首相,404,일본총리,Prime Minister of Japan
主導,404,주도하다,take the lead
警戒,403,경계하다,alert
藉口,401,핑계,excuse
意見,401,의견,Views
鄉親,400,마을 사람,villager
轉型,400,변혁,transformation
中共中央,400,중국공산당 중앙위원회,Central Committee of the Communist Party of China
毛澤東,400,마오쩌둥,Mao Zedong 
電動車,399,전동차,Electric vehicle
俄烏,399,러우,Russian-Ukrainian
形象,397,이미지,impression
稅,397,세금,tax
爆料,396,폭로하다,expose
水準,396,수준,standard
農委會,396,농업위원회,Ministry of Agriculture
現實,395,현실,Reality
東海,394,동해,East China Sea
林靜儀,394,린징이,lin ching-yi
司法,393,사법,judiciary
暴力,392,폭력,Violence
民怨,392,민원,popular discontent
遭遇,392,당하다,encounter
景氣,391,경기,prosperity
資安,391,정보 안전,information safety
氣氛,391,분위기,atmosphere
馬斯克,391,일론 머스크,Elon Musk 
常態,389,평소의 상태,normal status
營業,387,영업,business operations
醫學,387,의학,medical science
形態,387,형태,form
基輔,386,키예프,kiev
理性,386,이성,rationality
中資,385,중국 자본,chinese capital
股票,385,주식,Stocks
上台,383,취임,inauguration
意願,382,의향,Willingness
廣州,380,광저우,guangzhou
海峽中線,380,해협중앙선,Strait Midline
公約,380,협약,Conventions
胡錦濤,379,후진타오,President Hu Jintao
豬,377,돼지,pig
林智堅,376,린즈젠,Lin Chih-chien
移民,376,이민,Immigration
困境,375,곤경,difficult situation
高科技,375,하이테크,High-tech
母艦,375,모함,mother ship
陸軍,374,육군,Army (United States)
效應,374,효과,effect
品質,374,품질,quality
公平,373,공평,Fairness
祖國,373,조국,one's country
漁民,372,어민,fishermen
動作,372,동작,gesture
比重,372,비중,proportion
長期,370,장기,long-term
莫德納,370,모더나,moderna vaccine
非洲,369,아프리카,Africa
經歷,369,경험,experience
通訊,368,통신,Telecommunication
資格,368,자격,Qualifications
形勢,368,정세,state of affairs
戰備,367,전쟁 준비,preparation for war
律師,367,변호사,lawyer
指揮官,366,지휘관,commander
基層,364,말단,grassroots
熱議,364,열론,hotly debated
東亞,364,동아시아,East Asia
旅館,364,여관,hotel accommodation
北京市,363,베이징시,beijing city
朝野,363,야당과 여당,ruling and opposition parties
天津,362,톈진시,tianjin city
成長率,361,성장률,growth rate
軍備,359,군비,Armaments
危害,358,해를 끼치다,harm
司令,358,사령관,Commander-in-chief
捷克,357,체코,Czech Republic
手法,356,수법,trick
友台,355,대만 우호,Pro-Taiwan
內政,355,내무,Internal affairs
烏俄,355,우-러,ukrainian-russian
安保,355,안보,Security
定位,354,위치추정,positioning
院會,351,입법원회의,the legislative yuan meeting
市政,351,도시정책,municipal policies
官兵,350,장교와 사병,officers and soldiers
藝人,350,연예인,entertainer
交通部,350,교통부,Ministry of Transportation and Communications
中原,350,중원,Central Plains (disambiguation)
特色,349,특색,characteristic
油價,348,기름값,Oil price
柯志恩,347,커즈언,ko chih-en
蘇聯,347,소련,Soviet Union
爭議,346,분쟁,controversy
流感,346,유행성 감기,influenza 
戰術,345,전술,tactics
中山,345,중산,chung shan
鳳梨,343,파인애플,pineapple
總體,342,총체적,Overall
老人,342,노인,elderly
藝術,342,예술,Artistic
政見,341,후보 정책,policy stances
通話,340,통화,talk on the phone
本質,340,본질,essence
兵役,339,병역,Military service
街頭,338,거리,street
定義,337,정의,Definitions
集體,337,단체,collective
江澤民,336,장쩌민,Jiang Zemin
李登輝,335,리덩후이,Lee Teng-hui 
方針,335,방침,policy
綠營,335,녹영,Green camp
能量,335,에너지,energy
武統,335,무력통일,forced reunification
人力,335,인력,manpower
秘密,333,비밀,secret
紐西蘭,332,뉴질랜드,New Zealand
校園,332,캠퍼스,campus
畢業,331,졸업,graduate
媒報,331,매체 보도,media coverage
名義,330,명목,nominal
國際法,330,국제법,International law
陳吉仲,329,천지중,Chen Chi-chung
辯論,329,토론,Debate
鄭文燦,328,정원찬,Cheng Wen-tsan
波蘭,328,폴란드,Poland
財產,328,재산,property
示威,328,시위,Demonstrations
訪團,328,방문단,visiting delegation
施政,327,집정,Governance
福島,327,후쿠시마,fukushima
瑞士,326,스위스,switzerland
大眾,326,대중,the general public
農民,325,농민,farmers
司令部,325,사령부,headquarters
關稅,325,관세,Customs duties
機率,324,확률,probability
國籍,324,국적,nationality
道路,323,도로,Roads
馬來西亞,322,말레이시아,Malaysia
變種,322,변이,variant
信任,322,신뢰,trust
火箭,322,로켓,Rockets
博士,321,박사,PhD
顧問,320,컨설턴트,Consultants
邱國正,320,추궈정,chiu kuo-cheng
韓國瑜,319,한궈위,han kuo-yu
參議員,319,참의원,U.S. Senators
中獎,319,당첨,win a prize
仇恨,318,증오하다,hate
航艦,317,항함,airship
荷蘭,317,네덜란드,Netherlands
設廠,316,공장 설립,building a plant
經濟部,314,경제부,ministry of economy
馬曉光,314,마샤오광,Ma Xiaoguang
民防,312,민방위,civil defence
法院,312,법원,courts of justice
心理,311,심리,psychological
執政,310,집정하다,govern
極權,310,극권,totalitarian government
設施,307,시설,Facilities
盟邦,306,맹방,allies
邏輯,306,논리,logic
漲幅,303,상승폭,increase amount
組件,303,부품,Components
以色列,302,이스라엘,Israel
裝備,302,장비,Equipment
潛艦,300,잠수함,Submarine
水果,299,과일,fruit
山東,299,산둥,shandong province
障礙,299,장애,Obstacles
實彈,298,실탄,live ammunition
國安局,298,국가안보국,national security bureau
軟體,297,소프트웨어,Software
預料,297,예상하다,anticipate
染病,295,병에 걸리다,infected
思維,295,생각,thought
瑞典,295,스웨덴,Sweden
海關,295,세관,Customs
張忠謀,295,장종모,Morris Chang
建構,295,구성,construct
遊戲,293,게임,game
執政黨,292,여당,ruling party
有力,292,힘차다,powerful
幅度,292,폭,width
家族,292,가족,family
陳其邁,292,천치마이,Chen Chi-mai
王鴻薇,292,왕훙웨이,Wang Hong-wei 
反艦,291,대함,anti-ship
民主化,290,민주화,democratization
時代力量,288,시대역량,new power party
陳明通,287,천밍퉁,Chen Ming-tong
漁船,287,어선,fishing boat
口號,287,구호,slogan
草案,287,초안,Draft
公報,287,정부공고,official report
領海,287,영해,territorial waters
專屬,286,배타적,exclusive
原料,285,원료,raw material
王美花,285,왕메이화,Wang Mei-hua
美國海軍,285,미국 해군,United States Navy
學術,285,학술,academic
大力,285,힘껏,vigorously
新任,284,신임,newly-appointed
伊朗,284,이란,Iran
義務,283,의무,Obligations
損失,283,손실,Losses
高喊,283,외치다,shout
信箱,282,우편함,mailbox
國際組織,282,국제 기구,International organizations
歐美,282,유럽과 미국,Europe and the United States
川普,282,트럼프,Trump
國安會,282,국가안전회의,National Security Council
外委會,282,외교 및 국방위원회,Foreign Affairs Committee
方艙,282,팡창병원,mobile cabin hospital
衛生局,281,보건국,public health bureau
強力,280,강력하다,strong
秘書,279,비서,secretary
負責人,278,책임자,Person in charge
浙江,278,쩌장,zhejiang province
差距,278,차이,gap
全台,278,전 대만,the whole taiwan
選情,277,선거 상황,election sentiment
黨員,276,당원,Party members
保險,275,보험,insurance
主因,275,주원인,main cause
站台,275,편을 들어주다,stand up for
家屬,274,가족대표자,family head
烏軍,274,우크라이나 군대,ukrainian army
藝文,274,문예,arts and literature
產量,274,생산량,Production capacity
外銷,274,수출,export
紅色,273,붉은색,red
成都,273,청두,chengdu province
愛國,272,애국하다,patriotism
選項,272,옵션,Options
友邦,272,수교국,country with diplomatic relations
內閣,272,내각,Cabinet of Ministers
外交政策,272,외교 정책,Foreign policy
碳,271,탄소,Carbon
高官,271,높은 관직,a high-ranking official
錄用,270,채용하다,hire
公園,269,공원,park
船舶,269,선박,ship
周玉蔻,269,저우위커우,Chou Yu-kou
幹部,269,간부,cadres
變數,268,변수,variable
海基,268,해협교류기금회,Straits Exchange Foundation
俄軍,268,러시아군,russian military
指導,268,지도하다,guide
羅致政,268,뤄즈정,lo chih-cheng
邱太三,267,추타이산,chiu tai-shan
國安法,266,국가안전수호법,the hong kong national security law
成就,266,성과,Achievements
條約,265,조약,Treaties
金管會,264,금융감독관리회,financial supervisory commission
蕭茲,264,숄츠,Scholz
費用,264,비용,Cost
財,263,재물,wealth
台軍,263,대만 군대,Taiwanese military
宣言,263,선언,Declaration
國慶,262,국경일,National Day
消失,261,사라지다.,disappear
特首,261,행정장관,chief executive
尹錫悅,260,윤석열,Yoon Suk Yeol
昆山,260,쿤산,kunshan
產值,259,생산액,output value
重慶,259,충칭,chongqing city
江聰淵,259,장총위안,chiang tsung-yuan
蕭美琴,258,샤오메이친,bi-khim hsiao
外交官,258,외교관,diplomat
細節,258,세부 사항,Details
紅線,257,붉은 실,red thread
上路,257,실행되다,put in action
幼兒,257,유아,young children
貨量,257,물량,volume of goods
文明,257,문명,civilization
精準,256,정확하다,precise
職務,256,직무,Duties
衛星,256,위성,satellites
雷達,256,레이더,Radar
食物,256,음식,food
航線,255,항로,air route
代理,254,대리,act on behalf of
全校,254,전교,the whole school
面板,254,패널,panel
洪秀柱,254,홍슈주,hung hsiu-chu
西藏,254,티베트,tibet
局面,253,국면,situation
高通,251,퀄컴,Qualcomm
合法,251,합법적이다,legitimate
候選人,251,후보자,candidates
社交,250,사교,socializing
四川,250,쓰촨,sichuan province
江安,249,장안 현,jiang-an province
英特爾,249,인텔,Intel
慣例,248,관례,conventional practice
政客,248,정치인,Politicians
聯盟,248,연맹,Federation
謝志偉,248,셰즈웨이,hsieh chih-wei
馬祖,248,마주,matsu
馬克宏,247,에마뉘엘 마크롱,Emmanuel Macron
貨櫃,247,컨테이너,container
生效,247,효력 발생,Entry into force
層級,247,층계,hierarchical
中國海軍,247,중국 해군,chinese navy
股東,246,주주,shareholder
食藥,246,식약,food and medicine
波及,246,미치다,affect
派系,245,파벌,faction
自民黨,244,자민당,liberal democratic party (ldp)
公職,244,공직,public office
