chinese,count,korean,english
街頭,72,거리,street
專利,71,특허,Patents
中美,71,중미,China-US
犯台,71,대만침범,Taiwan invasion
資深,70,경력이 풍부한,senior
對台,70,대만을 향한,facing Taiwan
聯合國,70,유엔,United Nations
官媒,70,관영 매체,state-run media
議會,70,의회,Parliament
錯誤,70,잘못,Mistake
太平洋,69,태평양,Pacific Ocean
澳門,69,마카오,Macao
團體,69,단체,group
程序,69,절차,Procedure (disambiguation)
蕭茲,68,숄츠,Scholz
成果,67,성과,Outcome
戰場,67,전쟁터,Battlefield
實力,67,실력,capibility
股價,67,주가,stock price
意圖,67,의도,Intention
成本,67,원가,Cost
評論,67,평가,Comment
共軍,67,공산군,Communist army
莫德納,66,모더나,moderna vaccine
代價,66,대가,cost
荷蘭,66,네덜란드,Netherlands
重慶,66,충칭,chongqing city
義務役,66,병역의무,compulsory service
糧食,65,식량,Food
公告,65,공고,public announcement
經歷,65,경험,experience
支持者,65,지지자,supporters
工廠,65,공장,Factory
侯友宜,65,허우유이,Hou You-yi
意志,65,의지,will
市政,65,도시정책,municipal policies
陳其邁,65,천치마이,Chen Chi-mai
人才,65,인재,talent
貢獻,65,공헌,contribute
郭台銘,64,궈타이밍,Terry Gou
黨員,64,당원,Party members
決心,64,결심,determination
染疫,64,감염되다,be infected
莫斯科,64,모스크바,Moscow
對岸,64,맞은편,the opposite side
路線,64,노선,route
物資,64,물자,material goods
選票,64,투표용지,Ballot papers
行為,64,행위,behavior
傳統,64,전통,Tradition
外資,63,외화자금,Foreign investment
汽車,63,자동차,Motor vehicles
學校,63,학교,School
主管,63,매니저,head of a department
全力,63,전력,with all one's might
協會,63,협회,Association
家人,63,가족,Family
交易,63,거래,trade
機關,63,기관,institute
航空,63,항공,Air transportation
商業,63,상업,Commercial activities
距離,62,거리,distance
菲律賓,62,필리핀,Philippiness
李克強,62,리커창,Li Keqiang
廣州,62,광저우,guangzhou
庫存,62,재고,Stockpile
醫學,62,의학,medical science
分歧,61,의견차이,divergence of opinion
智慧,61,지혜,wisdom
鄭文燦,61,정원찬,Cheng Wen-tsan
軍人,61,군인,soldiers
台南市,61,타이난 시,Tainan City
警方,61,경찰 측,Police officers
公平,61,공평,Fairness
家族,61,가족,family
速度,61,속도,speed
南海,60,남해,South China Sea
情報,60,정보,information
出境,60,출국,departure from a country
材料,60,재료,Material
民調,59,여론조사,public opinion poll
心理,59,심리,psychological
馬克宏,59,에마뉘엘 마크롱,Emmanuel Macron
武漢,59,우한,wuhan
家庭,59,가정,Family
民防,59,민방위,civil defence
意見,59,의견,Views
九二共識,58,92공식,The 1992 Consensus
黨部,58,당 본부,party headquarters
部署,58,배치,Deployment
情緒,58,정서,emotion
飛機,58,비행기,airplane
航空器,58,항공기,aircraft
體制,57,체제,system
智庫,57,싱크탱크,think tank
土地,57,땅,land
北京市,57,베이징시,beijing city
連江縣,57,롄장현,Lianjiang County
經理,57,매니저,Manager
案件,56,사건,Cases
體系,56,체계,system
大國,56,대국,great nation
前景,56,전망,Prospects
視訊,56,영상통화,video call
法人,56,법인,corporation
盧秀燕,56,루슈옌,Lu Shiow-yen
龐皮歐,55,마이크 폼페오,michael pompeo
辯論,55,토론,Debate
紀錄,55,기록,record
行徑,55,행동,behavior
資格,55,자격,Qualifications
伊朗,55,이란,Iran
土耳其,55,터키,Turkey
形勢,55,정세,state of affairs
禁令,54,금령,Prohibition
台美,54,대-미,Taiwan-US
決策,54,결책,Decision-making
柬埔寨,54,캄보디아,Cambodia
林佳龍,54,린자롱,Lin Chia-lung
工具,54,공구,Tools
數位,54,디지털,digital
候選人,54,후보자,candidates
徐巧芯,54,쉬차오신,Hsu Chiao-hsin
口號,54,구호,slogan
阿拉伯,54,아랍,Arab States
總部,53,본부,Headquarters
上台,53,취임,inauguration
選項,53,옵션,Options
坦言,53,허심탄회하다,confess
外委會,53,외교 및 국방위원회,Foreign Affairs Committee
慣例,53,관례,conventional practice
衛福部,53,위생복지부,Ministry of Health and Welfare
染病,53,병에 걸리다,infected
農業,53,농업,agriculture
證明,53,증명하다,attest
民生,52,민생,people's livelihood
決議,52,결의,Resolution
思想,52,사상,thought
修正,52,수정,amend
人力,52,인력,manpower
廈門,52,샤먼,Xiamen
台東,51,타이둥시,Taitung city
大眾,51,대중,the general public
廠區,51,공장부지,factory premises
貨幣,51,화폐,Currency
大使,51,대사,Ambassador
20國集團,51,G20,Group of 20
營運,51,운영,Operations
示威,51,시위,Demonstrations
公眾,51,공중,the public
石油,51,석유,Oil (disambiguation)
遊客,51,여행객,tourists
澤連斯基,50,젤렌스키,Zelensky
澤連斯基,50,젤렌스키,Zelensky
信任,50,신뢰,trust
資產,50,자산,Assets
境內,50,국내,domestic
幼兒,50,유아,young children
費用,50,비용,Cost
慈濟,50,츠지,Tzu Chi
權益,50,권익,Rights and interests
敵人,50,적,enemy
國安,50,국가안보,national security
律師,49,변호사,lawyer
林智堅,49,린즈젠,Lin Chih-chien
資本,49,자본,Capital (economics)
博士,49,박사,PhD
總體,49,총체적,Overall
主導,49,주도하다,take the lead
方針,49,방침,policy
海軍,49,해군,Navy
北約,49,북대서양조약기구,North Atlantic Treaty Organization (NATO)
案例,49,사례,Case study
學術,49,학술,academic
水準,48,수준,standard
成都,48,청두,chengdu province
薛瑞元,48,쉐루이위안,Hsueh Jui-yuan
四川,48,쓰촨,sichuan province
成績,48,성적,score
義務,48,의무,Obligations
陳玉珍,48,천위전,Chen Yu-jen
來源,48,출처,Source of information
形態,48,형태,form
黨章,48,당헌,Party Constitution
國務,48,국무,state affairs
品質,48,품질,quality
機率,47,확률,probability
胡春華,47,후춘화,Hu Chun-hua
軍備,47,군비,Armaments
憲法,47,헌법,Constitution
國慶,46,국경일,National Day
債,46,빚,debt
法治,46,법치,Rule of law
財政,46,재정,Finance
負責任,46,책임을 지다,take responsibility
指導,46,지도하다,guide
形式,46,형식,form
形象,46,이미지,impression
回家,46,귀가,go back home
病房,46,병실,hospital room
核武器,46,핵무기,Nuclear weapons
邱國正,46,추궈정,chiu kuo-cheng
海珠,45,하이주,Haizhu
東南亞,45,동남아시아,Southeast Asia
美軍,45,미군,U.S. military
氣氛,45,분위기,atmosphere
孩子,45,아이,Child
學院,45,학과,department
曝光,45,폭로하다,expose
經濟體,45,경제체,economic entity
經濟部,45,경제부,ministry of economy
協商,45,협상,consultation
中共中央,45,중국공산당 중앙위원회,Central Committee of the Communist Party of China
馬祖,45,마주,matsu
執政黨,44,여당,ruling party
場所,44,장소,place
司法,44,사법,judiciary
醫生,44,의사,doctors
韓國瑜,44,한궈위,han kuo-yu
理性,44,이성,rationality
國門,44,국경,borders
風險區,44,위험지역,risk zone
張忠謀,44,장종모,Morris Chang
個人,44,개인,individual
變種,44,변이,variant
證實,44,증명하다,prove
設廠,44,공장 설립,building a plant
蒙古,43,몽골,mongolia
過度,43,지나치다,overtly
執政,43,집정하다,govern
流感,43,유행성 감기,influenza 
爆料,43,폭로하다,expose
股市,43,주식 시장,Stock market
電腦,43,컴퓨터,Computer
封城,43,도시봉쇄,city lockdown
專制,43,전제,despotic
國台辦,43,중국 대만사무소,National Taiwan Affairs Office
選情,43,선거 상황,election sentiment
外交政策,43,외교 정책,Foreign policy
錯,42,틀리다.,wrong
同志,42,동지,comrade
幹部,42,간부,cadres
施政,42,집정,Governance
大樓,42,빌딩,building
藍營,42,남색캠프,Blue camp
毛澤東,42,마오쩌둥,Mao Zedong 
席次,42,의석,seats
法院,42,법원,courts of justice
陳吉仲,42,천지중,Chen Chi-chung
上市,41,상장,listed (stock)
國葬,41,국장,state funeral
陣營,41,진영,camp
教育部,41,교육부,ministry of education
全市,41,시 전체,the whole city
預料,41,예상하다,anticipate
道路,41,도로,Roads
會場,41,행사장,venue
秘書長,41,사무총장,Secretary-General
特色,41,특색,characteristic
空氣,41,공기,air
保護力,41,보호력,protection
遺體,40,시체,remains
派系,40,파벌,faction
軍力,40,군사력,military strength
細節,40,세부 사항,Details
高階,40,높은 계급,higher position
代工,40,위탁생산자,original equipment manufacturing
動員,40,동원하다,mobilize
東亞,40,동아시아,East Asia
河南,40,허난 성,henan province
女王,40,여왕,queen
負面,40,부정적,negative
邱太三,39,추타이산,chiu tai-shan
典禮,39,의식,ceremony
空軍,39,공군,Air Force
住宅,39,주택,housing
航行,39,항해,sail
兵力,39,병력,military strength
霸凌,39,왕따 시키다,bully
軍方,39,군부대,Military
效應,39,효과,effect
集體,39,단체,collective
小心,39,조심하다,be careful
亞太地區,38,아시아-퍼시픽 지역,Asia-Pacific region
鄧小平,38,덩샤오핑,Deng Xiao-ping
長期,38,장기,long-term
電動車,38,전동차,Electric vehicle
保險,38,보험,insurance
軍艦,38,군함,warship
業績,38,업적,Performance
精準,38,정확하다,precise
戰機,38,전투기,warplane
銀行,38,은행,Bank
院所,38,병원,hospitals
內政,38,내무,Internal affairs
司令,38,사령관,Commander-in-chief
營業,37,영업,business operations
吳思瑤,37,우스야오,Wu Szu-yao
文明,37,문명,civilization
消費者,37,소비자,consumers
紐西蘭,37,뉴질랜드,New Zealand
藝術,37,예술,Artistic
長者,37,어르신,elderly
知情,37,사정을 알다,be aware of
正義,37,정의,Justice
邏輯,37,논리,logic
水產品,37,수산물,aquatic products
王定宇,37,왕딩위,wang ting-yu
軍機,37,군용기,military aircraft
百姓,36,백성,civilians
定位,36,위치추정,positioning
流程,36,절차,process
有力,36,힘차다,powerful
家屬,36,가족대표자,family head
總統府,36,총통부,Presidential Palace
內閣,36,내각,Cabinet of Ministers
幅度,36,폭,width
補件,36,추가서류 제출,provide additional documents
槍,36,총,gun
安倍,36,아베,Abe (disambiguation)
中東,36,중동,Middle East
高喊,36,외치다,shout
營收,36,영업 수입,Revenue
薪資,36,봉급,salary
涵蓋率,36,포함률,coverage rate
地下,36,지하,underground
工人,35,노동자,workers
國安會,35,국가안전회의,National Security Council
學位,35,학위,degree
待遇,35,대우,Treatment
效益,35,효과와 이익,benefit
蔣孝嚴,35,장샤오옌,Chiang Hsiao-yen
原料,35,원료,raw material
商機,35,상업 기회,business opportunity
邱垂正,35,추추이정,chiu chui-cheng
不法,35,불법,illegal
社會面,35,사회면,social area
領空,35,영공,airspace
負責人,35,책임자,Person in charge
登場,35,등장,appear
紐約,35,뉴욕,New York City
任命,35,임명하다,Appointments
海上,35,해상,at sea
深圳,35,선전시,Shenzhen City
中央政府,34,중앙 정부,central government
房價,34,방값,housing prices
現實,34,현실,Reality
遭遇,34,당하다,encounter
賀錦麗,34,카말라 해리스,Kamala Harris
野心,34,야심,ambition
意願,34,의향,Willingness
實質,34,본질,substance
死因,34,사망원인,causes of death
沙國,34,사우디아라비아,Saudi Arabia
黑道,34,깡패,gangster
願景,34,희망,vision
輕症,34,경증,mild illness
跌幅,34,하락폭,plunge
公約,34,협약,Conventions
條例,33,조례,rules
客運,33,고속버스,express bus
對方,33,상대방,opponent
陳明通,33,천밍퉁,Chen Ming-tong
思維,33,생각,thought
同仁,33,동료,colleagues
工業,33,산업,Industry
印象,33,인상,impression
職務,33,직무,Duties
得票率,33,득표율,approval rate
岸田文雄,33,기시다 후미오,Fumio Kishida
建構,33,구성,construct
醫療量,33,의료량,amount of medical care
差距,33,차이,gap
普萊斯,33,네드 프라이스,Ned Price
地震,33,지진,earthquake
中線,33,중앙선,Midline
戰區,33,전쟁구역,war zone
美國國務院,33,미국 국무부,U.S. State Department
李德,33,리더,Li Te
王滬寧,33,왕후닝,Wang Hu-ning
丁薛祥,33,딩쉐샹,Ding Xue-xiang
人潮,33,인파,a crowd of people
食藥,33,식약,food and medicine
群體,33,단체,groups
雙城,33,미네소타 트윈스,Minnesota Twins
中俄,33,중러,China-Russia
政績,33,정치 업적,political achievement
議程,32,의사일정,Agenda
成就,32,성과,Achievements
動作,32,동작,gesture
公園,32,공원,park
烏魯木齊,32,우루무치,Urumqi Municipality
景氣,32,경기,prosperity
戰書,32,도전장,written challenge to war
離島,32,섬,Outlying Islands
全黨,32,당 전체,the whole party
罪,32,죄,crime
強勢,32,세다,strong
中原,32,중원,Central Plains (disambiguation)
榮譽,32,영광,honor
企業家,32,기업가,entrepreneurs
比重,32,비중,proportion
紅線,32,붉은 실,red thread
股票,32,주식,Stocks
障礙,32,장애,Obstacles
中資,32,중국 자본,chinese capital
全台,32,전 대만,the whole taiwan
新任,32,신임,newly-appointed
合法,32,합법적이다,legitimate
假訊息,32,가짜 정보,false information
研究院,31,연구원,Research Institute
全程,31,전 과정,the whole process
利率,31,이자율,Interest rate
港口,31,항구,harbours
戰事,31,전쟁,fighting
死亡率,31,사망률,mortality rate
瑞士,31,스위스,switzerland
病毒感染,31,바이러스에 감염되다,viral infection
高科技,31,하이테크,High-tech
機械,31,기계,Mechanic
戰備,31,전쟁 준비,preparation for war
動力,31,동력,power
困境,31,곤경,difficult situation
民怨,31,민원,popular discontent
歐美,31,유럽과 미국,Europe and the United States
家園,30,집,home
外媒,30,외국매체,Foreign media
政壇,30,정치계,political areas
外交官,30,외교관,diplomat
天安,30,티엔안,Tian-an
聯合國大會,30,유엔 총회,United Nations General Assembly
矽谷,30,실리콘밸리,Silicon Valley
仇恨,30,증오하다,hate
丘以思,30,추이스유한회사,Choice Pharma
秘書,30,비서,secretary
人生,30,인생,life
物價,30,물가,Prices
畢業,30,졸업,graduate
明白,30,이해,understand
核能,30,핵에너지,Nuclear power
交通部,30,교통부,Ministry of Transportation and Communications
海鮮,30,해산물,Seafood
聲稱,30,주장하다,claim
南京,29,난징,Nanjing
綠色,29,녹색,Green
團團,29,투안투안 판다,Tuan-tuan panda
中山,29,중산,chung shan
側翼,29,양측 날개,lateral wing
福建,29,푸젠 성,Fujian Province
漲,29,오르다,rise
以色列,29,이스라엘,Israel
烏茲別克,29,우즈베키스탄,Uzbekistan
體驗,29,체험,experience
東京,29,도쿄,Tokyo
海線,29,코스털 노선,coastal line
衛生組織,29,보건 기구,WHO
林穎孟,29,린잉멍,lin ying-meng
役男,29,병역의무자,miliatry mandatory men
入境者,29,입국자,overseas arrivals
財產,29,재산,property
尹錫悅,29,윤석열,Yoon Suk Yeol
道理,29,도리,reason
滑雪,29,스키를 타다.,Skiing
產業鏈,29,산업 체인,industrial chain
顧問,29,컨설턴트,Consultants
商品,28,상품,Commodities
美台,28,미-대,US-Taiwan
聯電,28,UMC,United Microelectronics
理想,28,이상,ideal
米歇爾,28,샤를 미셸,Charles Michel
創業,28,창업하다,start a business
成員國,28,회원국,Member States
稅,28,세금,tax
選區,28,선거구,electoral district
蘇納克,28,리시 수낵,Rishi Sunak
能量,28,에너지,energy
現金,28,현금,cash
立院,28,입법원,the legislative yuan
猴痘,28,원숭이두창,monkeypox
轉型,28,변혁,transformation
通訊,28,통신,Telecommunication
小區,28,동네,community
福利,28,복지,Welfare
雙標,27,내로남불,double standard
農委會,27,농업위원회,Ministry of Agriculture
造勢,27,선거캠페인,campaign rally
常態,27,평소의 상태,normal status
局面,27,국면,situation
自衛隊,27,자위대,Self-Defense Forces
車輛,27,차량,vehicles
兵團,27,병단,army corps
軟體,27,소프트웨어,Software
民主化,27,민주화,democratization
財富,27,부,Wealth
海峽,27,해협,Straits
心情,27,기분,mood
不容,27,용납하지 않다,not acceptable
校園,27,캠퍼스,campus
契機,27,계기,opportunity
彈道,27,탄도,Ballistic trajectory
俄方,27,러시아측,Russian side
變數,27,변수,variable
警戒,27,경계하다,alert
通話,27,통화,talk on the phone
農產品,27,농산물,Agricultural products
宣告,27,선언하다,declare
盟邦,27,맹방,allies
瑞典,27,스웨덴,Sweden
落地,27,착지,landing
趙春山,27,자오춘산,Chao Chun Shan
血,27,피,blood
盟國,27,동맹국,Allies
中國國家衛健委,27,중국 국가 위생건강위원회,China's National Health Commission
世衛,27,세계보건기구,World Health Organization
火化,27,화장하다,cremation
道德,27,도덕,Morality
石斑魚,26,우럭,grouper
內政部,26,내정부,Ministry of the Interior
面會,26,직접 만나다,meet
西藏,26,티베트,tibet
親友,26,친척과 친구,relatives and friends
東海,26,동해,East China Sea
交代,26,인계,take over
曾銘宗,26,쩡밍종,Tseng Ming-chung
局長,26,국장,Director-General
中國民眾,26,중국민중,Chinese citizens
旗下,26,산하,subsidiary
衛健委,26,위생건강위원회,National Health Commission
陸軍,26,육군,Army (United States)
共機,26,공산당 비행기,Chinese Communist Aircraft
哈薩克,26,카자흐스탄,Kazakhstan
碩士,26,석사,master
裝備,26,장비,Equipment
本質,26,본질,essence
機票,26,항공권,Air tickets
社交,26,사교,socializing
霸權,26,패권,Hegemony
美國國會,26,미국 의회,U.S. Congress
溝通,26,소통,Communication
證據,26,증거,Evidence
強權,26,강권,powerful power
林飛帆,26,린페이판,Lin Fei-fan
航線,26,항로,air route
合約,26,계약,contract
群組,25,그룹,group
