chinese,count,korean,english
朱立倫,1541,주리룬,Chu Li-lun
聯合國,1539,유엔,United Nations
全國,1536,전국,nationwide
委員,1533,위원,committee member
全世界,1522,전세계,worldwide
大會,1517,대회,General Assembly
抗中保台,1504,항중보대,Resist China Protect Taiwan
北韓,1502,북한,Democratic People's Republic of Korea
成本,1492,원가,Cost
部署,1492,배치,Deployment
海外,1482,해외,overseas
石油,1478,석유,Oil (disambiguation)
部隊,1464,부대,Troops
規定,1453,규정,Regulations
手段,1451,수단,means
柯文哲,1446,커원저,Ko Wen-je
信心,1444,자신감,confidence
實力,1441,실력,capibility
條件,1441,조건,condition
客戶,1435,거래처,Clients
股市,1435,주식 시장,Stock market
戰機,1432,전투기,warplane
權力,1428,권력,Power
考量,1424,고려,consideration
國軍,1423,국군,Armed Forces
高層,1420,고층,high position
責任,1416,책임,Responsibility
中國共產黨,1415,중국 공산당,Communist Party of China
選人,1399,임원선거,elect
錯誤,1390,잘못,Mistake
汽車,1381,자동차,Motor vehicles
傳統,1378,전통,Tradition
加拿大,1377,캐나다,Canada
國務,1373,국무,state affairs
美軍,1351,미군,U.S. military
紀錄,1344,기록,record
角色,1343,역할,Character (characters)
標準,1343,표준,Standards
國外,1343,국외,Overseas
城市,1336,도시,City
意識,1331,의식,Consciousness
商,1327,상,commercial
對台,1327,대만을 향한,facing Taiwan
行政院,1326,행정원,Executive Yuan
重要性,1323,중요성,Importance
體系,1319,체계,system
網友,1312,네티즌,Internet users
糧食,1311,식량,Food
銀行,1309,은행,Bank
抗議,1299,항의,protest
布局,1294,배치,layout
蘇貞昌,1290,쑤전창,Su Tseng-chang
分歧,1290,의견차이,divergence of opinion
行程,1285,여정,itinerary
醫療,1273,의료,Medical
桃園市,1266,타오위안시,Taoyuan City
貨幣,1266,화폐,Currency
可能性,1266,가능성,possibility
人口,1262,인구,Population
朋友,1260,친구,Friend
領空,1260,영공,airspace
海上,1253,해상,at sea
外國,1243,외국,Foreign countries
中俄,1239,중러,China-Russia
台中市,1239,타이중시,Taichung City
越南,1225,베트남,Vietnam
蔣萬安,1224,장완안,Chiang Wan-an
俄烏,1217,러우,Russian-Ukrainian
智慧,1214,지혜,wisdom
人才,1211,인재,talent
關稅,1210,관세,Customs duties
台幣,1209,대만 달러,New Taiwan dollar
海軍,1200,해군,Navy
智庫,1193,싱크탱크,think tank
民間,1186,민간,the private sector
交易,1180,거래,trade
行政,1180,행정,Administration
企圖,1179,의도,intention
航空,1177,항공,Air transportation
路線,1176,노선,route
法律,1174,법률,Law
民意,1167,민의,public opinion
階段,1167,단계,stage
核武器,1166,핵무기,Nuclear weapons
雙邊,1165,쌍방,bilateral
研究所,1164,연구소,Research institutes
鄭運鵬,1159,정윈펑,Cheng Yun-peng
嘉義縣,1146,자이현,Chiayi County
空軍,1141,공군,Air Force
政權,1136,정권,governmental force
投票,1136,투표,vote
食品,1131,식품,Foodstuffs
台股,1127,대만 주식,Taiwan Stock
商品,1108,상품,Commodities
股價,1103,주가,stock price
體制,1085,체제,system
評論,1081,평가,Comment
金門縣,1079,진먼현,Kinmen County
形勢,1078,정세,state of affairs
亞太地區,1071,아시아-퍼시픽 지역,Asia-Pacific region
民調,1071,여론조사,public opinion poll
外資,1065,외화자금,Foreign investment
東南亞,1062,동남아시아,Southeast Asia
軍方,1053,군부대,Military
台美,1051,대-미,Taiwan-US
工業,1049,산업,Industry
菲律賓,1049,필리핀,Philippiness
阿拉伯,1043,아랍,Arab States
任期,1042,임기,Term of office
小三通,1040,소삼통,small three-way connection
精神,1035,정신,spirit
通話,1035,통화,talk on the phone
實質,1030,본질,substance
安倍,1027,아베,Abe (disambiguation)
成果,1025,성과,Outcome
上市,1021,상장,listed (stock)
錢,1020,돈,money
學生,1014,학생,Students
廠商,1007,생산자,Manufacturers
高雄市,1007,가오슝시,Kaohsiung City
無法,1005,방법이 없다,There is no way.
本土,998,본토,mainland
訊息,997,메시지,information
工程,996,공정,progress/process
利率,991,이자율,Interest rate
首長,991,우두머리,chief
首度,983,처음,first time
同胞,981,동포,compatriots
航行,978,항해,sail
版圖,977,판도,map
賴清德,968,라이칭더,Lai Ching-te
陸委會,968,대륙위원회,Mainland Affairs Council
碳,967,탄소,Carbon
公報,964,정부공고,official report
理事,962,이사,director
規劃,950,계획,Plan
夏立言,948,샤리옌,Andrew Hsia
情報,948,정보,information
美台,948,미-대,US-Taiwan
電動車,940,전동차,Electric vehicle
資本,936,자본,Capital (economics)
國安,936,국가안보,national security
戰場,935,전쟁터,Battlefield
手機,935,휴대전화,Cell phones
選民,934,유권자,electorate
現實,934,현실,Reality
材料,933,재료,Material
美國國會,930,미국 의회,U.S. Congress
貢獻,929,공헌,contribute
資產,927,자산,Assets
軍艦,927,군함,warship
吳釗燮,924,우자오셰,Wu Jau-shieh
商業,922,상업,Commercial activities
中共中央,921,중국공산당 중앙위원회,Central Committee of the Communist Party of China
距離,919,거리,distance
債,919,빚,debt
內政,919,내무,Internal affairs
國台辦,919,중국 대만사무소,National Taiwan Affairs Office
泰國,915,태국,Thailand
代價,912,대가,cost
新局,912,새로운 정세,new situation
蘇聯,911,소련,Soviet Union
焦點,910,초점,focus
協會,904,협회,Association
海峽,903,해협,Straits
戰區,899,전쟁구역,war zone
新疆,896,신장,Xinjiang
張善政,894,장산정,Chang San-cheng
東亞,889,동아시아,East Asia
飛機,888,비행기,airplane
經濟體,888,경제체,economic entity
軍機,879,군용기,military aircraft
入境,878,입국,Entry into the country
決策,878,결책,Decision-making
攝影,874,촬영,Photography
航母,872,항공모함,aircraft carrier
工具,870,공구,Tools
蕭茲,870,숄츠,Scholz
協商,868,협상,consultation
全球化,868,세계화,Globalization
國務院,863,국무원,State Council
韌性,861,근성,toughness
理念,857,이념,philosophy
視訊,853,영상통화,video call
身分,851,신분,identity
決心,850,결심,determination
川普,849,트럼프,Trump
思想,848,사상,thought
犯台,846,대만침범,Taiwan invasion
農業,845,농업,agriculture
形態,844,형태,form
黨內,840,당내,within the party
新北市,836,신베이 시,New Taipei City
憲法,835,헌법,Constitution
規範,828,규범,code
氣氛,823,분위기,atmosphere
資深,822,경력이 풍부한,senior
莫斯科,819,모스크바,Moscow
專業,816,전공,Profession
研究院,816,연구원,Research Institute
前景,812,전망,Prospects
紅線,809,붉은 실,red thread
柬埔寨,809,캄보디아,Cambodia
特色,808,특색,characteristic
代工,807,위탁생산자,original equipment manufacturing
主導,805,주도하다,take the lead
理性,804,이성,rationality
紐約,803,뉴욕,New York City
軍人,802,군인,soldiers
航班,801,항공편,Flights
權利,798,권리,Rights
李克強,794,리커창,Li Keqiang
形式,794,형식,form
庫存,793,재고,Stockpile
戰力,793,전력,military strength
直言,789,직설,direct speech
白皮書,787,백서,White paper
道路,784,도로,Roads
過度,783,지나치다,overtly
主委,782,주임 위원,chairperson
官,780,관청,official
來源,779,출처,Source of information
速度,777,속도,speed
族群,777,민족,ethnic group
機場,777,공항,Airports
總體,777,총체적,Overall
禁令,774,금령,Prohibition
意圖,773,의도,Intention
外交政策,771,외교 정책,Foreign policy
彈道,771,탄도,Ballistic trajectory
秦剛,768,친강,Qin Gang
工廠,767,공장,Factory
契機,765,계기,opportunity
全民,765,전 국민,the whole nation
霸權,763,패권,Hegemony
水準,763,수준,standard
戰事,763,전쟁,fighting
倡議,749,제의,proposal
輿論,748,여론,public opinion
效應,747,효과,effect
威權,746,위세,authority
尹錫悅,746,윤석열,Yoon Suk Yeol
決議,745,결의,Resolution
行為,741,행위,behavior
經驗,738,경험,Experience
市府,732,시청,city hall
政治局,731,정치국,Politburo
定位,731,위치추정,positioning
科學,731,과학,Science
法人,719,법인,corporation
非洲,716,아프리카,Africa
牌,713,패,card
公告,713,공고,public announcement
電話,709,전화,Telephone
修正,707,수정,amend
江澤民,706,장쩌민,Jiang Zemin
機關,696,기관,institute
綠營,695,녹영,Green camp
民眾黨,695,민중당,Taiwan People's Party
伊朗,694,이란,Iran
肺炎,692,폐렴,Pneumonia
主管,690,매니저,head of a department
消費者,690,소비자,consumers
程序,687,절차,Procedure (disambiguation)
情緒,684,정서,emotion
思維,679,생각,thought
行徑,676,행동,behavior
團體,674,단체,group
稅,673,세금,tax
對岸,668,맞은편,the opposite side
經歷,666,경험,experience
長期,666,장기,long-term
票,665,표,ticket
美國國務院,661,미국 국무부,U.S. State Department
困境,658,곤경,difficult situation
跌幅,658,하락폭,plunge
病例,656,병례,medical case
軍力,654,군사력,military strength
市民,651,시민,citizen
現任,651,현직,incumbent
群眾,649,대중,crowd
全力,648,전력,with all one's might
馬英九,647,마잉주,Ma Ying-jeou
聲量,645,성량,volume
封城,645,도시봉쇄,city lockdown
議會,643,의회,Parliament
中東,642,중동,Middle East
局面,642,국면,situation
槍,641,총,gun
澤倫斯基,640,젤렌스키,Zelensky
綠色,639,녹색,Green
負面,638,부정적,negative
財政,638,재정,Finance
林智堅,637,린즈젠,Lin Chih-chien
岸田文雄,637,기시다 후미오,Fumio Kishida
高端,636,가오두안백신,MVC COVID-19 Vaccine
海空,636,하늘과 바다,air and sea
陸方,635,육방,land side
方針,634,방침,policy
公平,632,공평,Fairness
李登輝,632,리덩후이,Lee Teng-hui 
毛澤東,631,마오쩌둥,Mao Zedong 
原油,630,원유,crude oil
股票,628,주식,Stocks
林佳龍,626,린자롱,Lin Chia-lung
立陶宛,626,리투아니아,Republic of Lithuania
中線,625,중앙선,Midline
民主自由,625,민주자유,democratic freedom
義大利,622,이탈리,Italy
義大利,622,이탈리아,Italy
侯友宜,614,허우유이,Hou You-yi
權法,613,권법,law of power
三星,613,삼성,Samsung
意志,612,의지,will
產業鏈,612,산업 체인,industrial chain
事業,611,사업,business
台大,611,대만대학교,National Taiwan University
海峽中線,611,해협중앙선,Strait Midline
關心,611,관심,interest
武統,610,무력통일,forced reunification
邊境,606,국경,Borders
水域,606,수역,water area
石斑魚,604,우럭,grouper
農產品,602,농산물,Agricultural products
陣營,601,진영,camp
核酸,600,핵산,nucleic acid
黨籍,600,당적,Party membership
框架,599,틀,Frameworks
景氣,599,경기,prosperity
數位,598,디지털,digital
民生,597,민생,people's livelihood
胡錦濤,595,후진타오,President Hu Jintao
專案,593,프로젝트,project
交通,590,교통,traffic
意見,588,의견,Views
動作,586,동작,gesture
強權,586,강권,powerful power
邏輯,586,논리,logic
差距,583,차이,gap
進程,580,진행 과정,Process
整理,576,정리,arrange
爭議,575,분쟁,controversy
信號,574,신호,signal
大樓,574,빌딩,building
機械,573,기계,Mechanic
學院,573,학과,department
常態,573,평소의 상태,normal status
有力,572,힘차다,powerful
權益,571,권익,Rights and interests
選項,569,옵션,Options
艦艇,567,군용선박,naval vessels
個人,566,개인,individual
論文,566,논문,Thesis paper
信任,564,신뢰,trust
黃珊珊,563,황산산,Huang San-san
官媒,562,관영 매체,state-run media
意願,562,의향,Willingness
支持者,559,지지자,supporters
不容,557,용납하지 않다,not acceptable
福建,557,푸젠 성,Fujian Province
秘書長,557,사무총장,Secretary-General
裝備,553,장비,Equipment
土地,550,땅,land
口罩,549,마스크,Mask
轉型,548,변혁,transformation
汪文斌,548,왕원빈,Wang Wen-bin
艦隊,547,함대,Fleet
預料,546,예상하다,anticipate
定義,545,정의,Definitions
知情,542,사정을 알다,be aware of
電腦,537,컴퓨터,Computer
外媒,536,외국매체,Foreign media
上台,535,취임,inauguration
漲幅,533,상승폭,increase amount
海洋,532,바다,Oceans
醫院,532,병원,Hospitals
趙立堅,530,자오리젠,Zhao Li-jian
選票,530,투표용지,Ballot papers
藉口,530,핑계,excuse
封鎖,529,봉쇄하다,block
馬斯克,528,일론 머스크,Elon Musk 
底線,527,선,limit
證實,526,증명하다,prove
公約,525,협약,Conventions
形象,524,이미지,impression
祖國,523,조국,one's country
深圳,522,선전시,Shenzhen City
境內,521,국내,domestic
會長,517,회장,President
遊戲,516,게임,game
總部,516,본부,Headquarters
馬克宏,515,에마뉘엘 마크롱,Emmanuel Macron
阿富汗,514,아프가니스탄,Afghanistan
執政,514,집정하다,govern
學校,512,학교,School
自衛隊,511,자위대,Self-Defense Forces
總統府,506,총통부,Presidential Palace
旗下,506,산하,subsidiary
理論,506,이론,Theories
居民,504,주민,inhabitants
遭遇,504,당하다,encounter
土耳其,503,터키,Turkey
藥品,503,약품,medicine
邦交,500,국교,diplomatic relations
設廠,499,공장 설립,building a plant
成長率,499,성장률,growth rate
戰術,499,전술,tactics
比重,498,비중,proportion
鴻海,498,폭스콘,Foxconn
中亞,497,중앙아시아,Central Asia
高科技,494,하이테크,High-tech
大廠,492,대형 공장,a large factory
家庭,489,가정,Family
盟國,488,동맹국,Allies
旅客,485,여행객,Travellers
建構,485,구성,construct
機率,482,확률,probability
命運,482,운명,Fate
港口,481,항구,harbours
鄭文燦,481,정원찬,Cheng Wen-tsan
敵人,480,적,enemy
細節,479,세부 사항,Details
國際法,479,국제법,International law
物價,479,물가,Prices
生效,478,효력 발생,Entry into force
電池,478,배터리,Battery
學術,477,학술,academic
兵役,477,병역,Military service
中原,477,중원,Central Plains (disambiguation)
集體,477,단체,collective
登場,476,등장,appear
戰備,475,전쟁 준비,preparation for war
聯盟,475,연맹,Federation
新能源,475,재생에너지,New Energy
海關,475,세관,Customs
東海,474,동해,East China Sea
沙烏地,473,사우디아라비아,Saudi Arabia
博士,472,박사,PhD
軍備,471,군비,Armaments
日本首相,471,일본총리,Prime Minister of Japan
文明,470,문명,civilization
基隆市,470,지룽 시,Keelung City
防衛省,469,방위성,Ministry of Defence
生態,468,생태,Ecological
疾病,468,질병,Illness
安倍晉三,465,아베 신조,Prime Minister Shinzo Abe
強勢,464,세다,strong
成績,464,성적,score
法治,464,법치,Rule of law
瑞典,463,스웨덴,Sweden
變數,462,변수,variable
油價,461,기름값,Oil price
貸款,457,대출,Loans
幅度,457,폭,width
政客,457,정치인,Politicians
張忠謀,456,장종모,Morris Chang
紀念,456,기념,commemorate
指導,454,지도하다,guide
軍售,453,군납 판매,arms sales
選情,451,선거 상황,election sentiment
太陽,448,태양,Sun
大臣,447,장관,Minister
口號,447,구호,slogan
藝術,446,예술,Artistic
成就,445,성과,Achievements
沙國,445,사우디아라비아,Saudi Arabia
客觀,444,객관적,objective
魏鳳,443,웨이펑허,Wei Feng-he
太空,443,우주,space
專利,442,특허,Patents
局長,442,국장,Director-General
動員,441,동원하다,mobilize
美國海軍,439,미국 해군,United States Navy
品質,439,품질,quality
藍營,439,남색캠프,Blue camp
黨章,438,당헌,Party Constitution
抗中,436,항중,Resistance to China
台南市,436,타이난 시,Tainan City
營收,435,영업 수입,Revenue
本質,434,본질,essence
行政部,434,행정부,Department of Administration
物流,433,물류,Logistics
證券,432,증권,Securities
歐美,430,유럽과 미국,Europe and the United States
中歐,430,중부 유럽,Central Europe
東京,428,도쿄,Tokyo
大戰,425,대전,Great war
執政黨,425,여당,ruling party
內閣,423,내각,Cabinet of Ministers
行情,423,시세,market price
正義,423,정의,Justice
英特爾,423,인텔,Intel
荷蘭,423,네덜란드,Netherlands
火箭,423,로켓,Rockets
精準,422,정확하다,precise
廈門,422,샤먼,Xiamen
關切,422,관심주다,concern
經理,419,매니저,Manager
員工,419,직원,Staffs
中概股,417,차이나 컨셉 주식,China Concept Stocks
領海,417,영해,territorial waters
層級,417,층계,hierarchical
條約,416,조약,Treaties
債券,415,채권,Bond
溝通,415,소통,Communication
營運,414,운영,Operations
觀光,413,관광하다,sightseeing
國安會,413,국가안전회의,National Security Council
證明,410,증명하다,attest
汪洋,408,넓은 바다,vast ocean
物資,407,물자,material goods
院會,406,입법원회의,the legislative yuan meeting
島國,406,섬나라,Island countries
專屬,405,배타적,exclusive
補貼,404,보조금,Subsidies
障礙,404,장애,Obstacles
司法,404,사법,judiciary
兵力,403,병력,military strength
海基,403,해협교류기금회,Straits Exchange Foundation
共同富裕,402,함께 부유하다.,common prosperity
冠狀,401,코로나,corona
俄方,401,러시아측,Russian side
損失,401,손실,Losses
司令,401,사령관,Commander-in-chief
通訊,400,통신,Telecommunication
顧問,399,컨설턴트,Consultants
陸軍,398,육군,Army (United States)
信息,397,정보,Information
典禮,397,의식,ceremony
鄧小平,396,덩샤오핑,Deng Xiao-ping
大力,396,힘껏,vigorously
施政,396,집정,Governance
移民,395,이민,Immigration
蔣經國,395,장징궈,Chiang Ching-kuo
明白,394,이해,understand
武裝,392,무장,armed
水平,392,수평,horizontal
海岸,392,해안,coast
產量,392,생산량,Production capacity
白紙,392,백지,white paper
曹興誠,392,차오싱청,Tsao Xing-cheng
國慶,391,국경일,National Day
危害,391,해를 끼치다,harm
野心,391,야심,ambition
合法,390,합법적이다,legitimate
邱臣遠,390,추천위안,Qiu Chen-yuan
引擎,390,엔진,Engine (engine)
心理,389,심리,psychological
負責任,388,책임을 지다,take responsibility
安保,388,안보,Security
共機,384,공산당 비행기,Chinese Communist Aircraft
爭端,384,분쟁,Disputes
基層,384,말단,grassroots
衛星,383,위성,satellites
基輔,380,키예프,kiev
專機,380,전용기,a private plane
外交官,379,외교관,diplomat
力度,378,힘,strength
動力,377,동력,power
參議員,377,참의원,U.S. Senators
警方,376,경찰 측,Police officers
設施,375,시설,Facilities
聯準會,375,연준회,Federal Reserve
雷根,374,로널드 레이건,Ronald Reagan
籌碼,374,협상 카드,bargaining chip
軟體,374,소프트웨어,Software
公眾,373,공중,the public
馬來西亞,372,말레이시아,Malaysia
高通,372,퀄컴,Qualcomm
台軍,371,대만 군대,Taiwanese military
慣例,370,관례,conventional practice
消失,369,사라지다.,disappear
成員國,369,회원국,Member States
歐元,365,유로,Euro
基本面,365,펀더멘털,fundamental
黨外,365,당외,outside the party
陳明通,364,천밍퉁,Chen Ming-tong
新冷戰,364,신냉전,New Cold War
馬可仕,364,페르디난드 마르코스,Ferdinand Marcos
衛福部,364,위생복지부,Ministry of Health and Welfare
西太平洋,364,서태평양,Western Pacific Ocean
母艦,364,모함,mother ship
紐西蘭,363,뉴질랜드,New Zealand
專制,362,전제,despotic
孩子,362,아이,Child
周玉蔻,361,저우위커우,Chou Yu-kou
美中台,360,미중대,U.S.-China-Taiwan
錯,360,틀리다.,wrong
語言,360,언어,Language
示威,360,시위,Demonstrations
極端,359,극히,extreme
義務,359,의무,Obligations
處境,355,처지,situation
證據,355,증거,Evidence
美麗島,355,메이리다오,the Formosa
作品,354,작품,Works
案例,354,사례,Case study
幕僚,354,막료,a staff member
學會,354,학회,academic association
業績,354,업적,Performance
賀錦麗,352,카말라 해리스,Kamala Harris
政見,352,후보 정책,policy stances
資格,352,자격,Qualifications
索羅門群島,351,솔로몬 제도,Solomon Islands
火力,351,화력,firepower
願景,351,희망,vision
美歐,350,미국과 유럽,United States and Europe
印象,349,인상,impression
天下,349,천하,the whole world
生物,348,생물,living things
司令部,348,사령부,headquarters
友台,348,대만 우호,Pro-Taiwan
密集,347,밀집하다.,dense
家人,347,가족,Family
聯合國大會,347,유엔 총회,United Nations General Assembly
大數據,347,빅데이터,Big data
伯恩斯,344,니컬러스 번스,Nicholas Burns
舞台,344,무대,stage
財政部,344,재무부,Ministry of Finance
財富,344,부,Wealth
故宮,343,고궁,The National Palace Museum
大陸國家,343,대륙국가,Continental states
共同利益,343,공동이익,common interest
龍頭,343,우두머리,the head of a group
蔡其昌,343,차이치창,Tsai Chi-chang
黃金,342,황금,Gold
哈薩克,342,카자흐스탄,Kazakhstan
能量,341,에너지,energy
大眾,340,대중,the general public
角力,339,레슬링,wrestling
選區,339,선거구,electoral district
貨物,338,화물,goods
護欄,338,가드레일,guardrail
陳吉仲,336,천지중,Chen Chi-chung
實彈,336,실탄,live ammunition
軍委,336,군사 위원회,Military Commission
業界,336,업계,industry
新任,335,신임,newly-appointed
外委會,335,외교 및 국방위원회,Foreign Affairs Committee
假訊息,335,가짜 정보,false information
對方,335,상대방,opponent
愛國,334,애국하다,patriotism
農委會,334,농업위원회,Ministry of Agriculture
辯論,334,토론,Debate
結盟,333,동맹을 맺다,form an alliance with
藥物,333,약물,Drugs
負責人,332,책임자,Person in charge
潛艦,332,잠수함,Submarine
黨部,330,당 본부,party headquarters
對話,330,대화,Dialogue
人道,329,휴머니즘,humanity
待遇,329,대우,Treatment
條款,328,약관,Terms and Conditions
成長,327,성장하다.,grow
心態,327,심리 상태,mentality
20國集團,326,G20,Group of 20
坦言,325,허심탄회하다,confess
楊潔篪,325,양제츠,Yang Jiechi
儀式,324,의식,ceremony
王鴻薇,324,왕훙웨이,Wang Hong-wei 
匯率,323,환율,Exchange rate
巴基斯坦,323,파키스탄,Pakistan
黨員,323,당원,Party members
同志,322,동지,comrade
電力,322,전력,Electricity
保台,322,대만을 보호하다,protect Taiwan
鐵路,322,철도,Railways
美國商務部,321,미국 상무부,U.S. Department of Commerce
草案,321,초안,Draft
陷阱,321,함정,trap
財務,321,재무,Finance
葉倫,321,재닛 옐런,Janet Yellen
建築,321,건축물,Architecture
鄰國,321,이웃 나라,Neighbouring countries
以色列,320,이스라엘,Israel
議程,320,의사일정,Agenda
主軸,319,주축,the main axis
烏茲別克,319,우즈베키스탄,Uzbekistan
效率,318,능률,efficiency
兒童,317,어린이,children
宣言,317,선언,Declaration
高階,316,높은 계급,higher position
強力,315,강력하다,strong
苗栗,315,먀오리,Miaoli
終端,314,끝자락,Terminal
外匯,314,외국환,Foreign exchange
聲稱,314,주장하다,claim
理想,313,이상,ideal
姿態,313,자태,posture
派系,313,파벌,faction
李顯龍,313,리셴룽,Lee Hsien Loong
盧秀燕,312,루슈옌,Lu Shiow-yen
高點,310,고점,high point
準則,309,준칙,Guidelines
波蘭,309,폴란드,Poland
朝野,308,야당과 여당,ruling and opposition parties
主因,308,주원인,main cause
股權,307,주주권,shareholders' rights
人力,306,인력,manpower
資安,306,정보 안전,information safety
組件,306,부품,Components
航線,305,항로,air route
軌道,305,궤도,Railways
澎湖,305,펑후,Penghu
王必勝,304,왕비성,Wang Pi-sheng
邊緣,304,가장자리,edge
盟邦,304,맹방,allies
任命,303,임명하다,Appointments
交通部,303,교통부,Ministry of Transportation and Communications
財,303,재물,wealth
雙城,302,미네소타 트윈스,Minnesota Twins
熱議,302,열론,hotly debated
曝光,301,폭로하다,expose
朱鳳蓮,301,주퐁롄,Zhu Feng-lian
潛力,301,잠재력,potential
