chinese,korean,english
蘇聯,소련,Soviet Union
消費者,소비자,consumers
小三通,소삼통,small three-way connection
溝通,소통,Communication
軟體,소프트웨어,Software
速度,속도,speed
損失,손실,Losses
索羅門群島,솔로몬 제도,Solomon Islands
蕭茲,숄츠,Scholz
手段,수단,means
首席,수석,chief
水域,수역,water area
收益,수익,Earnings
修正,수정,amend
水準,수준,standard
水平,수평,horizontal
瑞典,스웨덴,Sweden
市值,시가총액,market capitalization
市民,시민,citizen
設施,시설,Facilities
行情,시세,market price
示威,시위,Demonstrations
市議員,시의원,city councilor
習近平,시진핑,Xi Jinping
市府,시청,city hall
糧食,식량,Food
食品,식품,Foodstuffs
新冷戰,신냉전,New Cold War
信任,신뢰,trust
新北市,신베이 시,New Taipei City
身分,신분,identity
新任,신임,newly-appointed
新疆,신장,Xinjiang
信號,신호,signal
實力,실력,capibility
實彈,실탄,live ammunition
心理,심리,psychological
心態,심리 상태,mentality
新加坡,싱가포르,Singapore
智庫,싱크탱크,think tank
戰,싸우다,fight
蘇貞昌,쑤전창,Su Tseng-chang
阿拉伯,아랍,Arab States
安倍,아베,Abe (disambiguation)
安倍晉三,아베 신조,Prime Minister Shinzo Abe
亞洲,아시아,Asia
亞太,아시아-퍼시픽,Asia-Pacific region
亞太地區,아시아-퍼시픽 지역,Asia-Pacific region
孩子,아이,Child
阿富汗,아프가니스탄,Afghanistan
非洲,아프리카,Africa
安保,안보,Security
壓力,압력,pressure
前途,앞길,future
愛國,애국하다,patriotism
朝野,야당과 여당,ruling and opposition parties
野心,야심,ambition
藥,약,medicine
條款,약관,Terms and Conditions
藥物,약물,Drugs
兩國,양국,two countries
兩岸,양안,Cross-Strait
楊潔篪,양제츠,Yang Jiechi
言論,언론,speech
語言,언어,Language
嚴正,엄정하다,strict
業界,업계,industry
業者,업자,businessman
業績,업적,Performance
馬克宏,에마뉘엘 마크롱,Emmanuel Macron
引擎,엔진,Engine (engine)
執政黨,여당,ruling party
輿論,여론,public opinion
民調,여론조사,public opinion poll
行程,여정,itinerary
旅客,여행객,Travellers
歷史,역사,History
角色,역할,Character (characters)
研究所,연구소,Research institutes
研究院,연구원,Research Institute
燃料,연료,fuel
聯盟,연맹,Federation
聯準會,연준회,Federal Reserve
聯合軍,연합군,Allied Forces
熱議,열론,hotly debated
領空,영공,airspace
英國,영국,United Kingdom
視訊,영상통화,video call
營收,영업 수입,Revenue
領土,영토,Territories
領海,영해,territorial waters
預料,예상하다,anticipate
藝術,예술,Artistic
澳洲,오스트레일리아,Australia
選項,옵션,Options
王美花,왕메이화,Wang Mei-hua
王必勝,왕비성,Wang Pi-sheng
汪文斌,왕원빈,Wang Wen-bin
王毅,왕이,Wang Yi
王鴻薇,왕훙웨이,Wang Hong-wei 
外交,외교,Foreign relations
外委會,외교 및 국방위원회,Foreign Affairs Committee
外交政策,외교 정책,Foreign policy
外交官,외교관,diplomat
外交部,외교부,Ministry of Foreign Affairs
外國,외국,Foreign countries
外媒,외국매체,Foreign media
外匯,외국환,Foreign exchange
外界,외부,the outside world
外資,외화자금,Foreign investment
不容,용납하지 않다,not acceptable
石斑魚,우럭,grouper
優勢,우세,advantage
吳釗燮,우자오셰,Wu Jau-shieh
友誼,우정,Friendship
太空,우주,space
烏茲別克,우즈베키스탄,Uzbekistan
烏克蘭,우크라이나,Ukraine
命運,운명,Fate
營運,운영,Operations
華盛頓,워싱턴,"Washington, D.C."
華府,워싱턴 D.C.,"Washington, D.C."
成本,원가,Cost
原料,원료,raw material
原油,원유,crude oil
原則,원칙,Principles
晶圓,웨이퍼,Wafer
魏鳳,웨이펑허,Wei Feng-he
危機,위기,crisis
衛福部,위생복지부,Ministry of Health and Welfare
衛星,위성,satellites
威權,위세,authority
委員,위원,committee member
定位,위치추정,positioning
代工,위탁생산자,original equipment manufacturing
風險,위험,Risks
選民,유권자,electorate
歐洲,유럽,Europe
歐美,유럽과 미국,Europe and the United States
歐元,유로,Euro
聯合國,유엔,United Nations
聯合國大會,유엔 총회,United Nations General Assembly
陸軍,육군,Army (United States)
陸方,육방,land side
尹錫悅,윤석열,Yoon Suk Yeol
銀行,은행,Bank
意見,의견,Views
分歧,의견차이,divergence of opinion
醫療,의료,Medical
義務,의무,Obligations
議程,의사일정,Agenda
議員,의원,Member of Parliament
意志,의지,will
意願,의향,Willingness
議會,의회,Parliament
理念,이념,philosophy
伊朗,이란,Iran
理論,이론,Theories
形象,이미지,impression
移民,이민,Immigration
理想,이상,ideal
理性,이성,rationality
議題,이슈,issue
以色列,이스라엘,Israel
利用,이용,make use of
鄰國,이웃 나라,Neighbouring countries
利益,이익,Interests
利率,이자율,Interest rate
義大利,이탈리,Italy
明白,이해,understand
人口,인구,Population
人權,인권,Human rights
印度,인도,India
印太,인도-퍼시픽,Indo-Pacific region
印尼,인도네시아,Indonesia
人力,인력,manpower
印象,인상,impression
人才,인재,talent
英特爾,인텔,Intel
馬斯克,일론 머스크,Elon Musk 
日本,일본,Japan
日本首相,일본총리,Prime Minister of Japan
任期,임기,Term of office
任命,임명하다,Appointments
選人,임원선거,elect
入境,입국,Entry into the country
立場,입장,Position
資格,자격,Qualifications
資金,자금,Funding
汽車,자동차,Motor vehicles
資本,자본,Capital (economics)
資產,자산,Assets
信心,자신감,confidence
趙立堅,자오리젠,Zhao Li-jian
資源,자원,Resources
自衛隊,자위대,Self-Defense Forces
嘉義縣,자이현,Chiayi County
姿態,자태,posture
作品,작품,Works
錯誤,잘못,Mistake
潛艦,잠수함,Submarine
潛力,잠재력,potential
大臣,장관,Minister
長期,장기,long-term
裝備,장비,Equipment
張善政,장산정,Chang San-cheng
障礙,장애,Obstacles
蔣萬安,장완안,Chiang Wan-an
張忠謀,장종모,Morris Chang
蔣經國,장징궈,Chiang Ching-kuo
江澤民,장쩌민,Jiang Zemin
庫存,재고,Stockpile
葉倫,재닛 옐런,Janet Yellen
財務,재무,Finance
財政部,재무부,Ministry of Finance
財,재물,wealth
新能源,재생에너지,New Energy
財政,재정,Finance
周玉蔻,저우위커우,Chou Yu-kou
敵人,적,enemy
全民,전 국민,the whole nation
專業,전공,Profession
全國,전국,nationwide
電動車,전동차,Electric vehicle
前景,전망,Prospects
專家,전문가,Experts
全世界,전세계,worldwide
戰術,전술,tactics
專機,전용기,a private plane
電子,전자,Electronics
戰備,전쟁 준비,preparation for war
戰區,전쟁구역,war zone
戰場,전쟁터,Battlefield
專制,전제,despotic
傳統,전통,Tradition
戰機,전투기,warplane
電話,전화,Telephone
程序,절차,Procedure (disambiguation)
政經,정경,politics and economics
政權,정권,governmental force
政黨,정당,Political parties
黨團,정당 단체,political party
整理,정리,arrange
鄭寶清,정바오칭,Cheng Pao-ching
資安,정보 안전,information safety
政府,정부,Government
公報,정부공고,official report
峰會,정상 회담,summit
高峰會,정상회담,summit
情緒,정서,emotion
形勢,정세,state of affairs
精神,정신,spirit
鄭文燦,정원찬,Cheng Wen-tsan
鄭運鵬,정윈펑,Cheng Yun-peng
政策,정책,Policies
政治,정치,Politics
政治局,정치국,Politburo
政客,정치인,Politicians
精準,정확하다,precise
倡議,제의,proposal
制裁,제재,Sanctions
產品,제품,Products
澤倫斯基,젤렌스키,Zelensky
條件,조건,condition
祖國,조국,one's country
條約,조약,Treaties
建議,조언,Recommendations
畢業,졸업,graduate
股價,주가,stock price
主權,주권,sovereignty
主導,주도하다,take the lead
朱立倫,주리룬,Chu Li-lun
居民,주민,inhabitants
主席,주석,President
股票,주식,Stocks
股市,주식 시장,Stock market
主因,주원인,main cause
主委,주임 위원,chairperson
聲稱,주장하다,claim
股權,주주권,shareholders' rights
主軸,주축,the main axis
朱鳳蓮,주퐁롄,Zhu Feng-lian
準則,준칙,Guidelines
中國,중국,People's Republic of China
中國共產黨,중국 공산당,Communist Party of China
國台辦,중국 대만사무소,National Taiwan Affairs Office
中共中央,중국공산당 중앙위원회,Central Committee of the Communist Party of China
中國大陸,중국대륙,Mainland China
中東,중동,Middle East
中俄,중러,China-Russia
中美,중미,China-US
中歐,중부 유럽,Central Europe
中央,중앙,Central
中線,중앙선,Midline
中亞,중앙아시아,Central Asia
重要性,중요성,Importance
中原,중원,Central Plains (disambiguation)
中華,중화,Chinese nationality
中華民國,중화민국,Republic of China
證據,증거,Evidence
證券,증권,Securities
過度,지나치다,overtly
地帶,지대,region
領導人,지도자,Leader
指導,지도하다,guide
基隆市,지룽 시,Keelung City
地緣,지연,geopolitics
地位,지위,Status
支持者,지지자,supporters
智慧,지혜,wisdom
職務,직무,Duties
直言,직설,direct speech
員工,직원,Staffs
面會,직접 만나다,meet
金門縣,진먼현,Kinmen County
聲明,진술,Declaration
陣營,진영,camp
進程,진행 과정,Process
疾病,질병,Illness
秩序,질서,order
施政,집정,Governance
執政,집정하다,govern
曹興誠,차오싱청,Tsao Xing-cheng
差距,차이,gap
中概股,차이나 컨셉 주식,China Concept Stocks
蔡英文,차이잉원,Tsai Ing-wen
蔡其昌,차이치창,Tsai Chi-chang
參議員,참의원,U.S. Senators
創業,창업하다,start a business
債券,채권,Bond
債務,채무,debt
責任,책임,Responsibility
負責任,책임을 지다,take responsibility
負責人,책임자,Person in charge
首度,처음,first time
處境,처지,situation
陳明通,천밍퉁,Chen Ming-tong
陳吉仲,천지중,Chen Chi-chung
陳其邁,천치마이,Chen Chi-mai
天下,천하,the whole world
鐵路,철도,Railways
體系,체계,system
體制,체제,system
捷克,체코,Czech Republic
草案,초안,Draft
焦點,초점,focus
槍,총,gun
總理,총리,Prime Minister 
總書記,총서기,General Secretary
總裁,총재,director-general
總體,총체적,Overall
總統府,총통부,Presidential Palace
攝影,촬영,Photography
邱臣遠,추천위안,Qiu Chen-yuan
來源,출처,Source of information
上台,취임,inauguration
層級,층계,hierarchical
秦剛,친강,Qin Gang
晶片,칩,chip
賀錦麗,카말라 해리스,Kamala Harris
哈薩克,카자흐스탄,Kazakhstan
柬埔寨,캄보디아,Cambodia
加拿大,캐나다,Canada
戴琪,캐서린 타이,Katherine Tai
柯文哲,커원저,Ko Wen-je
顧問,컨설턴트,Consultants
電腦,컴퓨터,Computer
冠狀,코로나,corona
新冠,코로나19,New coronavirus
高通,퀄컴,Qualcomm
基輔,키예프,kiev
桃園市,타오위안시,Taoyuan City
台南市,타이난 시,Tainan City
台北市,타이베이시,Taipei City
台中市,타이중시,Taichung City
彈道,탄도,Ballistic trajectory
碳,탄소,Carbon
泰國,태국,Thailand
態度,태도,attitude
太陽,태양,Sun
太平洋,태평양,Pacific Ocean
土耳其,터키,Turkey
辯論,토론,Debate
通報,통보하다,notice
通訊,통신,Telecommunication
通話,통화,talk on the phone
投票,투표,vote
選票,투표용지,Ballot papers
川普,트럼프,Trump
特色,특색,characteristic
專利,특허,Patents
框架,틀,Frameworks
錯,틀리다.,wrong
派系,파벌,faction
巴基斯坦,파키스탄,Pakistan
版圖,판도,map
牌,패,card
霸權,패권,Hegemony
疫情,팬데믹,pandemic
基本面,펀더멘털,fundamental
基金,펀드,Fund
澎湖,펑후,Penghu
馬可仕,페르디난드 마르코스,Ferdinand Marcos
裴洛西,펠로시,Pelosi
評論,평가,Comment
常態,평소의 상태,normal status
和平,평화,peace
肺炎,폐렴,Pneumonia
幅度,폭,width
暴力,폭력,Violence
曝光,폭로하다,expose
鴻海,폭스콘,Foxconn
風暴,폭풍,Storm
波蘭,폴란드,Poland
票,표,ticket
標準,표준,Standards
福建,푸젠 성,Fujian Province
普丁,푸틴,Putin
品質,품질,quality
法國,프랑스,France
專案,프로젝트,project
菲律賓,필리핀,Philippiness
藉口,핑계,excuse
一中,하나의 중국,One-China policy
海空,하늘과 바다,air and sea
跌幅,하락폭,plunge
眾院,하원,House of Representatives
高科技,하이테크,High-tech
學院,학과,department
學校,학교,School
學生,학생,Students
學術,학술,academic
學會,학회,academic association
韓國,한국,Korea
共同富裕,함께 부유하다.,common prosperity
艦隊,함대,Fleet
陷阱,함정,trap
合法,합법적이다,legitimate
航空,항공,Air transportation
航母,항공모함,aircraft carrier
航班,항공편,Flights
港口,항구,harbours
航線,항로,air route
抗議,항의,protest
抗中,항중,Resistance to China
抗中保台,항중보대,Resist China Protect Taiwan
航行,항해,sail
海軍,해군,Navy
危害,해를 끼치다,harm
海上,해상,at sea
海岸,해안,coast
海域,해역,sea area
海外,해외,overseas
海峽,해협,Straits
海基,해협교류기금회,Straits Exchange Foundation
海峽中線,해협중앙선,Strait Midline
核酸,핵산,nucleic acid
核心,핵심,core
行徑,행동,behavior
行為,행위,behavior
行政,행정,Administration
行政部,행정부,Department of Administration
行政院,행정원,Executive Yuan
坦言,허심탄회하다,confess
侯友宜,허우유이,Hou You-yi
憲法,헌법,Constitution
季辛吉,헨리 키신저,Henry Kissinger
現狀,현상,phenomenon
現實,현실,Reality
現任,현직,incumbent
現況,현황,Current status
協商,협상,consultation
籌碼,협상 카드,bargaining chip
公約,협약,Conventions
協議,협의,agreement
協會,협회,Association
形式,형식,form
形態,형태,form
互利,호혜,mutually beneficial
香港,홍콩,Hong Kong
火力,화력,firepower
花蓮縣,화롄현,Hualien County
貨物,화물,goods
貨幣,화폐,Currency
機率,확률,probability
環境,환경,Environment
匯率,환율,Exchange rate
黃金,황금,Gold
黃珊珊,황산산,Huang San-san
成員國,회원국,Member States
會議,회의,Meeting
會長,회장,President
效應,효과,effect
效益,효과와 이익,benefit
生效,효력 발생,Entry into force
政見,후보 정책,policy stances
胡錦濤,후진타오,President Hu Jintao
手機,휴대전화,Cell phones
人道,휴머니즘,humanity
願景,희망,vision
大力,힘껏,vigorously
有力,힘차다,powerful
防部,국방부,ministry of defence
武,무력,force
市政府,시청,city hall
藥品,약품,medicine
小孩,어린이,children
兒童,어린이,children
石斑,우럭,grouper
烏國,우크라이나,ukraine
文攻武嚇,문공무혁,literary attack and force threats
醫,의,medical
富士康,폭스콘,Foxconn
教學,가르치다,teaching
高虹安,가오훙안,kao hung-an
家族,가족,family
家屬,가족대표자,family head
染疫,감염되다,be infected
感染者,감염자,infected person
檢方,검찰측,prosecution
警覺,경각하다,be on one's guard
經濟部,경제부,ministry of economy
輕症,경증,mild illness
公園,공원,park
公職,공직,public office
水果,과일,fruit
廣州,광저우,guangzhou
課程,교과 과정,courses
教育部,교육부,ministry of education
國安局,국가안보국,national security bureau
國安法,국가안전수호법,the hong kong national security law
國防委員會,국방위원회,national defense committee
國產,국산,domestic production
國籍,국적,nationality
極權,극권,totalitarian government
金管會,금융감독관리회,financial supervisory commission
工人,노동자,workers
老人,노인,elderly
農民,농민,farmers
中獎,당첨,win a prize
代理,대리,act on behalf of
台灣國,대만국,republic of taiwan
來台,대만에 오다,come to taiwan
反艦,대함,anti-ship
市政,도시정책,municipal policies
豬,돼지,pig
遼寧,랴오닝 성,liaoning province
俄軍,러시아군,russian military
呂伊,루이츠,ruitz
羅一鈞,뤄이쥔,lo yi-chun
羅致政,뤄즈정,lo chih-cheng
林穎孟,린잉멍,lin ying-meng
林俊憲,린쥔셴,lin chun-hsien
林靜儀,린징이,lin ching-yi
